sample,timeframe,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
IS_2014_2024,M30,basic_role,half_wave,9,44.44444444444444,-1.5190541006851566,-0.1687837889650174,0.7103503841565371,3.178120210409602,4,0.9678703095456412,0.9240044642260548,8.444444444444445,44.44444444444444
OOS_2025_2026,H1,strict_synapse,fixed_1_5R,5,20.0,-1.6713078998242885,-0.3342615799648577,0.47095184330001144,1.1284428265482198,2,1.499999999999999,1.5,37.6,20.0
OOS_2025_2026,H1,diag_break,fixed_1_5R,41,39.02439024390244,-1.7061520495819773,-0.041613464623950665,0.9221565815954871,7.74993482203568,8,1.4999999999999993,1.5,44.53658536585366,31.70731707317073
OOS_2025_2026,M5,strict_synapse,fixed_1_5R,13,46.15384615384615,-1.7532490800309724,-0.13486531384853634,0.755985593361004,5.689088177184563,4,1.4999999999999987,1.5,72.07692307692308,23.076923076923077
OOS_2025_2026,M15,context,fixed_2R,61,39.34426229508197,-1.7769946711566735,-0.02913106018289629,0.9511243252774059,14.752623691563922,11,2.0,2.0,61.278688524590166,22.950819672131146
OOS_2025_2026,M15,observe_loose,half_wave,26,57.692307692307686,-1.830474886643712,-0.07040288025552738,0.8393060305813288,4.21219811047749,3,0.7799678557201513,0.6475638935720744,18.26923076923077,57.692307692307686
IS_2014_2024,M15,basic_role,half_wave,33,48.484848484848484,-1.992916914756412,-0.06039142165928522,0.8852519676559333,9.05100198296318,6,1.182303450145611,1.0244499193904544,22.696969696969695,48.484848484848484
OOS_2025_2026,H1,basic_role,half_wave,2,0.0,-2.0389134246594622,-1.0194567123297311,0.0,1.0163176055981107,2,0.8629927532090108,0.8629927532090108,18.0,0.0
IS_2014_2024,H4,observe_loose,half_wave,14,50.0,-2.087424520573168,-0.14910175146951202,0.7049835656278108,4.050663288446943,4,0.8338809839230604,0.6350125760679843,12.285714285714286,50.0
OOS_2025_2026,M30,strict_synapse,fixed_2R,11,27.27272727272727,-2.1920429385895313,-0.19927663078086646,0.6490573919697441,3.5923150137650643,5,2.0,2.0,53.18181818181818,18.181818181818183
OOS_2025_2026,M15,basic_role,half_wave,4,25.0,-2.2331693882547325,-0.5582923470636831,0.2857080228802589,2.097739288663554,2,1.0727785768333502,1.0424772368215023,48.25,25.0
IS_2014_2024,H1,basic_role,half_wave,4,25.0,-2.254792670517859,-0.5636981676294648,0.26977429013170245,2.0619568264400705,2,1.055167445870627,0.9559288465141877,11.25,25.0
OOS_2025_2026,H1,basic_role,fixed_2R,74,36.486486486486484,-2.5873734791136433,-0.034964506474508696,0.9416734467050175,12.267908042863509,11,2.0,2.0,44.270270270270274,24.324324324324326
OOS_2025_2026,H4,basic_role,fixed_2R,25,36.0,-2.5974162169402697,-0.10389664867761078,0.8386837922572079,8.657965457546087,4,2.0,2.0,31.28,20.0
OOS_2025_2026,M15,strict_synapse,fixed_1_5R,15,33.33333333333333,-3.0310659534548314,-0.20207106356365542,0.67532621632222,8.328440362885926,9,1.4999999999999984,1.5,57.733333333333334,26.666666666666668
IS_2014_2024,H4,basic_role,fixed_2R,186,38.70967741935484,-3.0666749895147865,-0.016487499943627883,0.971240169257114,20.951165556701675,8,2.0,2.0,30.252688172043012,20.43010752688172
OOS_2025_2026,M30,observe_loose,fixed_2R,162,38.2716049382716,-3.0714072366227168,-0.018959303929769855,0.9649470736612795,16.591741649519665,10,2.0,2.0,54.82098765432099,21.604938271604937
IS_2014_2024,M30,context,fixed_2R,316,40.50632911392405,-3.5779575238235246,-0.011322650391846597,0.9795296420412465,25.435567560447517,10,2.0,2.0,52.848101265822784,20.253164556962027
IS_2014_2024,H4,basic_role,fixed_1_5R,194,42.2680412371134,-3.768336054276256,-0.019424412650908537,0.9647422198493762,18.862035132172238,8,1.5,1.5,26.510309278350515,31.958762886597935
OOS_2025_2026,H4,observe_loose,fixed_2R,30,33.33333333333333,-3.9373950161241127,-0.13124650053747042,0.7820876088138878,8.608044791226554,4,2.0,2.0,34.5,20.0
OOS_2025_2026,H1,strict_synapse,fixed_2R,5,0.0,-4.171307899824271,-0.8342615799648542,0.0,3.163261916447884,5,2.0,2.0,41.2,0.0
OOS_2025_2026,M30,observe_loose,half_wave,11,36.36363636363637,-4.331563298931973,-0.3937784817210884,0.3970384359218548,6.1145116313200765,4,0.796545482822762,0.6524539136275864,23.545454545454547,36.36363636363637
IS_2014_2024,M15,observe_loose,fixed_1_5R,2169,43.61456892577225,-4.576429296893668,-0.0021099259091257113,0.995940722793258,88.66548740129274,18,1.5000000000000004,1.5,57.37851544490549,31.489165514061778
IS_2014_2024,M5,strict_synapse,fixed_1_5R,138,43.47826086956522,-4.8520272756697596,-0.035159617939635936,0.9255091711475999,12.342117240400365,9,1.5000000000000013,1.5,84.40579710144928,26.08695652173913
IS_2014_2024,M5,context,fixed_2R,944,39.936440677966104,-5.169504823882768,-0.0054761703642825935,0.9903133880696943,41.702579183959735,10,2.0,2.0,75.54555084745763,23.41101694915254
OOS_2025_2026,M15,strict_synapse,fixed_2R,15,26.666666666666668,-5.446922645157523,-0.3631281763438349,0.47337490741549554,8.328440362885928,9,2.0,2.0,63.266666666666666,6.666666666666667
IS_2014_2024,M15,basic_role,fixed_1_5R,1714,43.582263710618435,-5.661877845166504,-0.0033033126284518696,0.9937259045228254,86.42437671676441,14,1.500000000000001,1.5,54.83372228704784,32.20536756126021
IS_2014_2024,M15,strict_synapse,fixed_1_5R,79,37.9746835443038,-6.884247366256679,-0.08714237172476809,0.8170142637683291,14.719698932998284,7,1.4999999999999991,1.5,76.9620253164557,20.253164556962027
OOS_2025_2026,M30,observe_loose,fixed_1_5R,171,42.69005847953216,-6.944168846274875,-0.04060917453961915,0.9216047149446803,19.44946525499042,8,1.5000000000000007,1.5,49.8187134502924,26.900584795321635
OOS_2025_2026,H1,context,fixed_2R,21,23.809523809523807,-7.2643095254631485,-0.3459195012125309,0.4701767575054561,6.333553073309177,5,2.0,2.0,56.04761904761905,14.285714285714285
OOS_2025_2026,M5,diag_break,fixed_2R,228,39.473684210526315,-7.642545799281603,-0.033519937716147384,0.9393933599018068,19.487860234480195,8,2.0,2.0,77.85526315789474,20.614035087719298
IS_2014_2024,M30,context,fixed_1_5R,323,43.343653250774,-7.65099893467486,-0.02368730320332774,0.9550731054763574,28.584281527562304,10,1.4999999999999998,1.5,46.027863777089784,29.411764705882355
OOS_2025_2026,H1,observe_loose,fixed_2R,82,36.58536585365854,-7.748852539040142,-0.09449820169561149,0.8367225688061865,9.691936752151822,10,2.0,2.0,53.048780487804876,17.073170731707318
OOS_2025_2026,H1,observe_loose,fixed_1_5R,88,39.77272727272727,-8.298353703283738,-0.09429947390095156,0.8323493277358626,10.235052787026948,8,1.5000000000000013,1.5,45.47727272727273,25.0
OOS_2025_2026,M5,diag_break,fixed_1_5R,231,42.42424242424242,-8.406868307485457,-0.03639336929647384,0.9304449639539535,19.13244257491261,6,1.499999999999995,1.5,71.42424242424242,29.87012987012987
IS_2014_2024,M15,strict_synapse,fixed_2R,79,34.177215189873415,-8.733005423004387,-0.11054437244309351,0.7688123019382175,12.809901922501659,7,2.0,2.0,83.55696202531645,11.39240506329114
OOS_2025_2026,H1,context,fixed_1_5R,21,23.809523809523807,-8.764309525463158,-0.4173480726411028,0.36077408668642175,7.8335530733091865,5,1.5,1.5,55.714285714285715,14.285714285714285
OOS_2025_2026,M15,diag_break,fixed_1_5R,123,39.83739837398374,-9.038608495185027,-0.07348462191207339,0.8675975721859497,20.79692271532041,13,1.499999999999998,1.5,56.9349593495935,28.455284552845526
OOS_2025_2026,M5,context,fixed_2R,112,37.5,-9.094611651162328,-0.08120188974252078,0.8543803113273721,15.061607908294349,8,2.0,2.0,77.9375,18.75
OOS_2025_2026,H1,basic_role,fixed_1_5R,75,37.333333333333336,-9.715800675564862,-0.1295440090075315,0.7810105288072751,13.236815642265256,11,1.500000000000002,1.5,40.266666666666666,28.000000000000004
IS_2014_2024,M15,observe_loose,half_wave,216,56.481481481481474,-10.277266280032206,-0.047579936481630586,0.8957767655570267,20.428091693433174,4,0.8878489737913592,0.7686950924922603,18.921296296296298,56.018518518518526
IS_2014_2024,M30,basic_role,fixed_2R,948,40.08438818565401,-10.569455555869853,-0.011149214721381702,0.9798954905482749,47.56610951064634,11,2.0,2.0,52.29746835443038,21.09704641350211
OOS_2025_2026,M5,basic_role,fixed_1_5R,499,42.48496993987976,-10.690908029440383,-0.021424665389660084,0.9592892192610424,36.81394084642916,8,1.4999999999999991,1.5,68.50100200400801,30.26052104208417
OOS_2025_2026,M5,basic_role,fixed_2R,480,38.75,-11.228214592261063,-0.023392113733877215,0.9583180847533329,37.597551824277474,8,2.0,2.0,76.80208333333333,21.25
OOS_2025_2026,M5,observe_loose,half_wave,76,48.68421052631579,-13.533020667885385,-0.17806606141954454,0.6696076750427594,18.798621970920358,7,0.9567814572774872,0.773405481259607,20.43421052631579,48.68421052631579
IS_2014_2024,M15,diag_break,fixed_1_5R,913,43.48302300109529,-13.537249087003682,-0.014827216962764164,0.9719489319820852,44.83281523774339,9,1.4999999999999993,1.5,54.12705366922234,30.887185104052573
OOS_2025_2026,M15,diag_break,fixed_2R,122,36.0655737704918,-13.902662659984854,-0.11395625131135126,0.8079698359431239,20.195787743137366,13,2.0,2.0,64.77049180327869,18.852459016393443
OOS_2025_2026,M5,context,fixed_1_5R,112,38.392857142857146,-14.262819285464804,-0.1273466007630786,0.7702249264265072,19.78892918757467,8,1.4999999999999944,1.5,73.64285714285714,24.107142857142858
OOS_2025_2026,M5,observe_loose,fixed_2R,632,39.55696202531646,-14.583392276991587,-0.023074987780049978,0.958145610240134,41.78829650646573,11,2.0,2.0,78.9256329113924,21.202531645569618
IS_2014_2024,M30,observe_loose,half_wave,96,48.95833333333333,-16.87674536551743,-0.17579943089080655,0.6634839596328403,23.15528725668125,5,0.7574217611942174,0.6739895491278525,14.135416666666666,48.95833333333333
IS_2014_2024,M30,basic_role,fixed_1_5R,986,43.40770791075051,-17.667105723744285,-0.017917957123472907,0.9658169558213072,58.70501618923943,11,1.4999999999999998,1.5,46.79513184584179,29.817444219066935
IS_2014_2024,M30,diag_break,fixed_1_5R,560,43.03571428571429,-23.02818611516425,-0.04112176091993616,0.9227144517744085,56.5856143372384,11,1.4999999999999991,1.5,45.57857142857143,28.92857142857143
