trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,early_exit_rate,symbol,rule_name,rule_desc,early_exit_bars
51,35.294117647058826,18.102028111823692,0.3549417276828175,1.520105658189933,7.433439984958518,0.0,CHFJPY,body60,実体が足全体の60%以上,0
55,23.636363636363637,-5.1346643672827605,-0.09335753395059565,0.8818688884558448,11.703793665909878,0.0,AUDJPY,body60,実体が足全体の60%以上,0
54,44.44444444444444,32.53474206690323,0.6024952234611709,1.9201858509162009,5.204045744156874,0.0,SILVER,body60,実体が足全体の60%以上,0
377,38.196286472148536,176.2711776816985,0.46756280552174667,1.7158655777408196,11.70379366590987,0.0,ALL,body60,実体が足全体の60%以上,0
65,40.0,42.75061360037609,0.6577017476980938,2.2662313186025163,6.1229458858372325,16.923076923076923,XAUUSD,body60,実体が足全体の60%以上,1
53,39.62264150943396,33.64955421856414,0.6348972494068705,2.1750009050582895,7.287077938936175,15.09433962264151,USDJPY,body60,実体が足全体の60%以上,1
49,34.69387755102041,21.11272595390081,0.43087195824287366,1.7184927509834935,9.391596867582718,14.285714285714285,EURJPY,body60,実体が足全体の60%以上,1
50,34.0,27.046516774453494,0.5409303354890699,2.1539413586237734,6.6375915428926895,30.0,GBPJPY,body60,実体が足全体の60%以上,1
51,31.372549019607842,15.131287675227965,0.29669191520054833,1.4739762589001022,7.738822272162307,15.686274509803921,CHFJPY,body60,実体が足全体の60%以上,1
55,21.818181818181817,0.297898193377804,0.005416330788687345,1.008483320269126,7.493765002172692,23.636363636363637,AUDJPY,body60,実体が足全体の60%以上,1
54,40.74074074074074,29.50817248800432,0.5464476386667466,1.9009830241719183,4.818422388687548,12.962962962962962,SILVER,body60,実体が足全体の60%以上,1
377,34.748010610079575,169.4967689039046,0.449593551469243,1.7883053761325958,9.39159686758272,18.30238726790451,ALL,body60,実体が足全体の60%以上,1
65,38.46153846153847,41.57447029303641,0.6396072352774833,2.2983030551593258,5.232761345538073,24.615384615384617,XAUUSD,body60,実体が足全体の60%以上,3
53,39.62264150943396,35.25550934116426,0.6651982894559295,2.304216702253128,6.648092182880344,20.754716981132077,USDJPY,body60,実体が足全体の60%以上,3
49,28.57142857142857,13.004411389137946,0.2653961507987336,1.4551506897178452,9.539012979669831,30.612244897959183,EURJPY,body60,実体が足全体の60%以上,3
51,33.33333333333333,28.439490077129864,0.5576370603358797,2.290663930560717,6.6375915428926895,37.254901960784316,GBPJPY,body60,実体が足全体の60%以上,3
51,27.450980392156865,13.318196532562807,0.26114110848162364,1.4781721994133472,7.261501920017441,33.33333333333333,CHFJPY,body60,実体が足全体の60%以上,3
55,20.0,0.6888591578086634,0.012524711960157515,1.021676342270404,9.2977610190229,36.36363636363637,AUDJPY,body60,実体が足全体の60%以上,3
54,38.88888888888889,28.719909744544267,0.5318501804545235,1.937049701045861,6.595315741777409,24.074074074074073,SILVER,body60,実体が足全体の60%以上,3
378,32.53968253968254,161.00084653538423,0.42592816543752443,1.8052399995531787,9.539012979669835,29.365079365079367,ALL,body60,実体が足全体の60%以上,3
65,38.46153846153847,42.98175186199176,0.6612577209537194,2.403949705469509,5.232761345538073,29.230769230769234,XAUUSD,body60,実体が足全体の60%以上,6
53,37.735849056603776,34.423458831996115,0.6494992232452097,2.3829856476768128,6.648092182880344,32.075471698113205,USDJPY,body60,実体が足全体の60%以上,6
49,26.53061224489796,10.796703092870992,0.22034087944634678,1.3883427271442756,9.411921895535167,38.775510204081634,EURJPY,body60,実体が足全体の60%以上,6
51,31.372549019607842,26.899081334360147,0.527432967340395,2.305345666061203,6.6375915428926895,43.13725490196079,GBPJPY,body60,実体が足全体の60%以上,6
51,27.450980392156865,15.004750192688496,0.2942107880919313,1.573450067852433,7.261501920017441,39.21568627450981,CHFJPY,body60,実体が足全体の60%以上,6
55,18.181818181818183,-0.0976175501356713,-0.0017748645479212964,0.9967016729551086,8.795442791206895,45.45454545454545,AUDJPY,body60,実体が足全体の60%以上,6
54,33.33333333333333,20.383237366812153,0.3774673586446695,1.666888609343789,8.64717272894189,35.18518518518518,SILVER,body60,実体が足全体の60%以上,6
378,30.687830687830687,150.391365130584,0.3978607543137143,1.7905310498142548,9.411921895535173,37.301587301587304,ALL,body60,実体が足全体の60%以上,6
68,44.11764705882353,48.59636171729475,0.714652378195511,2.223521659739493,5.159583885748383,0.0,XAUUSD,break005,終値の抜け幅がATR0.05以上,0
62,35.483870967741936,23.96308198768483,0.3865013223820134,1.580606084164591,9.370884365293918,0.0,USDJPY,break005,終値の抜け幅がATR0.05以上,0
55,30.909090909090907,11.422076454743726,0.20767411735897684,1.292308669702712,9.391596867582713,0.0,EURJPY,break005,終値の抜け幅がATR0.05以上,0
58,41.37931034482759,36.13689131934563,0.6230498503335453,2.0284296174822702,6.163523410317843,0.0,GBPJPY,break005,終値の抜け幅がATR0.05以上,0
58,36.206896551724135,22.754830416056638,0.3923246623458041,1.5834059265761737,7.2643794083387,0.0,CHFJPY,break005,終値の抜け幅がATR0.05以上,0
74,25.675675675675674,-0.8640929172486904,-0.011676931314171492,0.984824279103488,14.826505510751943,0.0,AUDJPY,break005,終値の抜け幅がATR0.05以上,0
62,43.54838709677419,35.104834122584755,0.5662070019771734,1.8532942157776982,5.204045744156874,0.0,SILVER,break005,終値の抜け幅がATR0.05以上,0
437,36.61327231121281,177.1139831004616,0.4052951558362966,1.6059586409762916,14.826505510751957,0.0,ALL,break005,終値の抜け幅がATR0.05以上,0
68,41.17647058823529,45.276389083543684,0.6658292512285836,2.2186052494888244,5.159583885748383,11.76470588235294,XAUUSD,break005,終値の抜け幅がATR0.05以上,1
62,33.87096774193548,26.321791641716214,0.42454502647929376,1.7317191138117853,9.370884365293918,17.741935483870968,USDJPY,break005,終値の抜け幅がATR0.05以上,1
55,30.909090909090907,15.73667192771536,0.2861213077766429,1.4527131875274257,9.391596867582715,14.545454545454545,EURJPY,break005,終値の抜け幅がATR0.05以上,1
58,34.48275862068966,31.689273866085056,0.54636679079457,2.1429294995445822,6.6375915428926895,27.586206896551722,GBPJPY,break005,終値の抜け幅がATR0.05以上,1
58,31.03448275862069,18.890957161299163,0.32570615795343383,1.5543888914042905,8.089813895610577,20.689655172413794,CHFJPY,break005,終値の抜け幅がATR0.05以上,1
74,24.324324324324326,7.957157693006512,0.10752915801360152,1.176041656421791,10.042019117569675,24.324324324324326,AUDJPY,break005,終値の抜け幅がATR0.05以上,1
