signal_i,signal_time,entry_hour,atr,rsi14,bb_z,range_atr,body_ratio,ema20_dist_atr,ema100_slope_atr,h4_slope_atr,family,direction,lookback,move_6_atr,move_12_atr,trigger_atr,wick_ratio,close_location,h4_align,h4_oppose,h4_neutral,h4_context,stop_anchor,range_width_atr,confirm_mode,confirm_time,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,r_after_cost,sample,year
22768,2017-08-29 10:00:00,11,0.19714550125554992,74.33382383358277,2.4781031948871792,0.9688275856339156,0.2251308900523864,2.549600214305096,1.3934167080993076,0.3077590172273544,stretch_reversal,short,20,4.205016065395356,4.666604077398913,2.549600214305096,0.6649214659685533,0.6649214659685533,False,True,True,H4逆,115.063,999.0,lower_high_or_bear,2017-08-29 11:00:00,22770,2017-08-29 12:00:00,114.834,115.09257182518833,114.62714253984934,0.25857182518832644,1.3115786236133922,22782,2017-08-30 00:00:00,114.939,TIME,12,-0.4834246728504096,IS_2014_2024,2017
27175,2018-05-15 16:00:00,17,0.14316058732738815,74.81358713622382,2.140764528939151,1.4179880356020786,0.1921182266009897,2.392299283104301,1.3115171470175269,-0.007979756236022754,stretch_reversal,short,20,4.086320201119188,5.071228147030014,2.392299283104301,0.7980295566501949,0.9901477832511846,False,False,True,H4中立,110.422,999.0,lower_high_or_bear,2018-05-15 17:00:00,27177,2018-05-15 18:00:00,110.192,110.44347408809911,109.9908207295207,0.25147408809911553,1.7565874294999198,27189,2018-05-16 06:00:00,110.314,TIME,12,-0.5646705037222065,IS_2014_2024,2018
27839,2018-06-22 08:00:00,9,0.15451042123272926,69.41192691658557,2.51949877246178,0.9319759719191197,0.05555555555552266,1.9030452396803539,0.34085872744971624,0.00011994118827081334,stretch_reversal,short,20,2.5176295352537026,3.650239223349794,1.9030452396803539,0.6944444444444774,0.6944444444444774,False,True,True,H4逆,111.4,999.0,lower_high_or_bear,2018-06-22 09:00:00,27841,2018-06-22 10:00:00,111.302,111.42317656318491,111.20505874945208,0.12117656318490333,0.7842614253337822,27841,2018-06-22 10:00:00,111.20505874945208,TP,0,0.6349515824319382,IS_2014_2024,2018
32824,2019-04-12 11:00:00,12,0.10798601320031043,80.96679032009514,1.8619817023690788,0.9353063142783824,0.09900990099015056,3.540750823628288,0.947852521148103,0.21155775984022268,stretch_reversal,short,20,4.574666527262623,5.935953935172807,3.540750823628288,0.8217821782178134,0.920792079207964,False,True,True,H4逆,111.967,999.0,lower_high_or_bear,2019-04-12 12:00:00,32826,2019-04-12 13:00:00,111.962,111.98319790198005,111.94504167841596,0.02119790198004523,0.1963022927860466,32826,2019-04-12 13:00:00,111.94504167841596,TP,0,-0.14348959717011922,IS_2014_2024,2019
34370,2019-07-12 09:00:00,10,0.11013359312696003,65.94142048005747,2.249295821669184,0.8989082911866711,0.2626262626262148,1.860003871957704,0.22215300450826295,0.08005118787844315,stretch_reversal,short,20,3.3958757667050303,3.2324378955801807,1.860003871957704,0.7272727272727273,0.7272727272727273,False,True,True,H4逆,109.905,999.0,lower_high_or_bear,2019-07-12 10:00:00,34372,2019-07-12 11:00:00,109.817,109.92152003896905,109.73338396882475,0.10452003896905637,0.9490295921660119,34374,2019-07-12 13:00:00,109.73338396882475,TP,2,0.6086491337231801,IS_2014_2024,2019
38663,2020-03-23 16:00:00,17,0.38798655523632336,70.39883076851585,2.2677038267201506,0.8943608878112692,0.002881844380376313,2.290208061806744,0.21329823210171428,0.03637945784638541,stretch_reversal,short,20,3.997561201715535,3.8970422546704593,2.290208061806744,0.7031700288184549,0.7060518731988312,False,True,True,H4逆,113.564,999.0,lower_high_or_bear,2020-03-23 17:00:00,38665,2020-03-23 18:00:00,113.182,113.62219798328545,112.82984161337164,0.4401979832854437,1.1345701992619777,38668,2020-03-23 21:00:00,112.82984161337164,TP,3,0.754565898165336,IS_2014_2024,2020
38921,2020-04-07 10:00:00,11,0.1940298302629353,73.0444078272564,2.1767110553768614,1.0410770329812806,0.11881188118812439,2.214266284163495,0.3799949738524863,-0.28471278911037506,stretch_reversal,short,20,4.123077358341801,3.659231155528338,2.214266284163495,0.797029702970311,0.797029702970311,True,False,True,H4順,112.242,999.0,lower_high_or_bear,2020-04-07 11:00:00,38923,2020-04-07 12:00:00,112.052,112.27110447453944,111.87671642036845,0.21910447453943505,1.1292308726061369,38923,2020-04-07 12:00:00,112.27110447453944,SL,0,-1.0912806552310303,IS_2014_2024,2020
41988,2020-10-04 23:00:00,0,0.20441405633251136,64.32001209544259,2.2329476688263528,1.6583986741526338,0.04424778761062132,1.7660770421474001,-0.0982714769436517,-0.24982681349912703,stretch_reversal,short,20,3.854920811894617,4.740378511073447,1.7660770421474001,0.8466076696164988,0.8908554572271201,False,False,True,H4中立,115.231,999.0,lower_high_or_bear,2020-10-05 00:00:00,41990,2020-10-05 01:00:00,114.985,115.26166210844987,114.7636703132401,0.2766621084498695,1.3534397458452436,41997,2020-10-05 08:00:00,115.26166210844987,SL,7,-1.0722903476448933,IS_2014_2024,2020
44654,2021-03-11 12:00:00,13,0.14590754494073058,75.69877035808688,1.7614019458174444,1.1651213792203672,0.24705882352941866,2.443488985104961,0.42666960916958374,-0.07187015873099688,stretch_reversal,short,20,3.2075106204419437,5.736509378867302,2.443488985104961,0.6705882352941364,0.6705882352941364,False,False,True,H4中立,117.406,999.0,lower_high_or_bear,2021-03-11 13:00:00,44656,2021-03-11 14:00:00,117.281,117.42788613174112,117.16349109460711,0.14688613174111254,1.0067068964855757,44657,2021-03-11 15:00:00,117.16349109460711,TP,1,0.6638401068709833,IS_2014_2024,2021
45322,2021-04-20 07:00:00,8,0.13485448855610724,67.76237886299944,2.1623651681154676,1.1048946282422651,0.16778523489936598,1.906444407661788,0.3463325202071918,0.33819712711938954,stretch_reversal,short,20,2.8400982725959447,3.411084087190924,1.906444407661788,0.617449664429518,0.785234899328884,False,True,True,H4逆,118.644,999.0,lower_high_or_bear,2021-04-20 08:00:00,45324,2021-04-20 09:00:00,118.588,118.66422817328342,118.52701746137325,0.07622817328342535,0.5652624106146088,45324,2021-04-20 09:00:00,118.52701746137325,TP,0,0.5376298140368366,IS_2014_2024,2021
73980,2025-11-26 07:00:00,8,0.26736365634261505,67.2500173415923,2.2084665098530722,0.8826928956177744,0.09745762711862008,1.8810019357858256,-1.3158395851051952,0.057839791381071586,stretch_reversal,short,20,3.7065621167676204,3.7215230133034787,1.8810019357858256,0.6949152542373004,0.6949152542373004,False,True,True,H4逆,194.217,999.0,lower_high_or_bear,2025-11-26 08:00:00,73982,2025-11-26 09:00:00,194.03,194.2571045484514,193.8483163612389,0.22710454845139338,0.8494219130530166,73986,2025-11-26 13:00:00,193.8483163612389,TP,4,0.7119348329376928,OOS_2025_2026,2025
76226,2026-04-09 08:00:00,9,0.1973457896216851,68.7623462173515,2.2431154439725463,0.9121045873087517,0.13333333333333333,1.8757627492858087,1.2077379460238367,0.08311632814488405,stretch_reversal,short,20,2.5589600921716555,4.079134404352908,1.8757627492858087,0.7111111111111638,0.7111111111111638,False,True,True,H4逆,201.12,999.0,lower_high_or_bear,2026-04-09 09:00:00,76228,2026-04-09 10:00:00,200.965,201.14960186844326,200.8173185052454,0.18460186844325222,0.935423394626948,76230,2026-04-09 12:00:00,201.14960186844326,SL,2,-1.1083412652788502,OOS_2025_2026,2026
76569,2026-04-29 15:00:00,16,0.19679137266891453,66.276118824474,2.390411634151563,1.183994993479758,0.10729613733895632,1.70162680313389,-1.1569425925842027,-0.12577051971960745,stretch_reversal,short,20,3.3283979430439024,3.1251369999572924,1.70162680313389,0.6738197424893044,0.6738197424893044,False,False,True,H4中立,202.869,999.0,lower_high_or_bear,2026-04-29 16:00:00,76571,2026-04-29 17:00:00,202.716,202.89851870590033,202.56998503527976,0.18251870590032127,0.927473107306356,76572,2026-04-29 18:00:00,202.56998503527976,TP,1,0.6904221904197038,OOS_2025_2026,2026
