zone_type,currency,side_mode,price_lo,price_hi,price_mid,loss_count,student_count,start_jst,end_jst,avg_loss_pips,psychology
FEAR_STOP,GBPJPY,buy,192.18,192.18,192.18,1,1,2024-10-03 05:34:00,2024-10-03 20:37:00,-212.7,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,195.798,195.798,195.798,1,1,2024-10-22 11:22:00,2024-10-22 18:46:00,-8.7,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,196.302,196.302,196.302,1,1,2024-11-19 18:24:00,2024-11-20 08:41:00,-235.0,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,196.55,196.55,196.55,1,1,2024-10-23 10:00:00,2024-10-25 01:00:00,-14.6,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,197.131,197.131,197.131,1,1,2024-10-23 17:00:00,2024-10-24 02:00:00,-77.6,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,199.503,199.503,199.503,1,1,2025-09-18 21:47:00,2025-09-19 15:46:00,-141.3,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,200.45,200.45,200.45,1,1,2025-11-06 10:26:00,2025-11-07 03:00:00,-59.0,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,202.5,202.5,202.5,1,1,2025-10-31 20:13:00,2025-11-01 03:00:00,-43.0,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,203.52,203.52,203.52,1,1,2025-10-14 21:00:00,2025-10-21 21:05:00,-205.7,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,204.05,204.05,204.05,1,1,2025-10-09 21:47:00,2025-10-09 22:07:00,-43.0,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,205.55,205.55,205.55,1,1,2025-11-26 03:12:00,2025-12-01 16:24:00,-32.0,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,206.16,206.16,206.16,1,1,2025-11-26 21:57:00,2025-12-01 10:05:00,-12.5,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,208.56,208.56,208.56,1,1,2026-02-17 22:14:00,2026-02-18 18:00:00,-129.0,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,209.63,209.63,209.63,1,1,2026-02-12 11:33:00,2026-02-16 18:51:00,-149.8,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,212.05,212.05,212.05,1,1,2026-01-12 13:50:00,2026-01-16 00:30:00,-15.8,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,213.6366,213.6366,213.6366,1,1,2026-02-04 21:09:00,2026-02-05 12:33:00,-129.0,損切集中・恐怖の出口
FEAR_STOP,GBPUSD,sell,1.315,1.35201,1.3257525,4,3,2024-09-17 13:00:00,2026-02-23 08:39:00,-31.7,損切集中・恐怖の出口
FEAR_STOP,USDCAD,buy,1.39082,1.39082,1.39082,1,1,2024-10-29 22:42:00,2024-11-01 21:38:00,-1.6,損切集中・恐怖の出口
FEAR_STOP,USDJPY,sell,140.48,140.7,140.59666666666666,3,3,2024-09-16 15:30:00,2024-09-17 11:00:00,-47.43333333333334,損切集中・恐怖の出口
FEAR_STOP,USDJPY,buy,141.9,141.9,141.9,2,2,2024-09-18 08:00:00,2024-09-19 07:26:00,-33.55,損切集中・恐怖の出口
FEAR_STOP,USDJPY,buy,143.41,143.6,143.505,2,2,2024-09-23 09:00:00,2024-09-23 19:00:00,-37.3,損切集中・恐怖の出口
FEAR_STOP,USDJPY,buy,146.1,146.22,146.16,2,2,2024-10-03 08:15:00,2024-10-04 14:33:00,-68.05,損切集中・恐怖の出口
FEAR_STOP,USDJPY,buy,156.43,156.6,156.515,2,2,2024-12-20 00:30:00,2025-01-20 08:18:00,-112.0,損切集中・恐怖の出口
FEAR_STOP,USDJPY,sell,141.0,141.0,141.0,1,1,2024-09-16 18:00:00,2024-09-17 08:00:00,-80.0,損切集中・恐怖の出口
FEAR_STOP,USDJPY,buy,143.92,143.92,143.92,1,1,2024-10-01 10:12:00,2024-10-01 10:25:00,-10.5,損切集中・恐怖の出口
FEAR_STOP,USDJPY,sell,144.21,144.21,144.21,1,1,2024-10-02 16:56:00,2024-10-02 17:31:00,-11.9,損切集中・恐怖の出口
FEAR_STOP,USDJPY,buy,144.45,144.45,144.45,1,1,2024-09-27 08:31:00,2024-09-27 15:23:00,-69.8,損切集中・恐怖の出口
FEAR_STOP,USDJPY,sell,148.35,148.35,148.35,1,1,2024-10-07 16:38:00,2024-10-07 17:52:00,-14.7,損切集中・恐怖の出口
FEAR_STOP,USDJPY,buy,151.76,151.76,151.76,1,1,2025-10-09 15:41:00,2025-10-11 00:21:00,-136.3,損切集中・恐怖の出口
FEAR_STOP,USDJPY,buy,152.48,152.48,152.48,1,1,2025-10-10 06:53:00,2025-10-10 15:35:00,-60.0,損切集中・恐怖の出口
FEAR_STOP,USDJPY,buy,153.85,153.85,153.85,1,1,2024-11-06 19:23:00,2024-11-07 16:07:00,-17.0,損切集中・恐怖の出口
FEAR_STOP,USDJPY,buy,155.32,155.32,155.32,1,1,2024-11-15 09:24:00,2024-11-15 18:40:00,-127.5,損切集中・恐怖の出口
FEAR_STOP,USDJPY,buy,157.8,157.8,157.8,1,1,2025-01-08 20:33:00,2025-01-09 13:02:00,-69.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2929.0,2930.0,2929.6666666666665,3,3,2025-02-20 15:31:00,2025-02-25 17:00:00,-157.33333333333334,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2654.7,2654.86,2654.7799999999997,2,2,2024-10-02 01:34:00,2024-11-25 23:00:00,-122.64999999999999,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2688.42,2689.59,2689.005,2,2,2024-12-11 15:22:00,2024-12-12 23:20:00,-187.9,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2780.0,2780.0,2780.0,2,2,2025-01-31 08:27:00,2025-02-03 10:56:00,-168.1,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,sell,2591.84,2591.84,2591.84,1,1,2024-11-14 02:00:00,2024-11-14 15:00:00,-91.3,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,sell,2595.0,2595.0,2595.0,1,1,2024-11-14 01:34:00,2024-11-18 10:30:00,-7.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2613.8,2613.8,2613.8,1,1,2024-12-23 16:18:00,2024-12-24 00:22:00,-176.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,sell,2627.09,2627.09,2627.09,1,1,2024-10-09 22:00:00,2024-10-10 21:30:00,-172.1,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2641.85,2641.85,2641.85,1,1,2025-01-02 19:36:00,2025-01-04 00:29:00,-26.2,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2670.8,2670.8,2670.8,1,1,2025-01-10 23:58:00,2025-01-13 21:18:00,-124.1,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2673.17,2673.17,2673.17,1,1,2024-11-25 08:00:00,2024-11-25 13:00:00,-405.1,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2680.0,2680.0,2680.0,1,1,2024-11-23 06:00:00,2024-11-25 15:00:00,-354.1,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2683.97,2683.97,2683.97,1,1,2024-12-12 07:00:00,2024-12-13 04:00:00,-354.5,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2700.78,2700.78,2700.78,1,1,2025-01-16 11:21:00,2025-01-18 04:00:00,-43.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2744.92,2744.92,2744.92,1,1,2024-10-29 15:00:00,2024-10-31 23:00:00,-102.6,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2750.8,2750.8,2750.8,1,1,2025-01-24 20:34:00,2025-01-27 23:36:00,-287.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2755.0,2755.0,2755.0,1,1,2024-10-31 12:40:00,2024-10-31 22:50:00,-32.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2766.0,2766.0,2766.0,1,1,2025-01-24 18:05:00,2025-01-27 08:00:00,-9.7,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2774.35,2774.35,2774.35,1,1,2025-01-24 18:23:00,2025-01-25 02:47:00,-28.9,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2785.0,2785.0,2785.0,1,1,2025-01-31 12:15:00,2025-02-03 10:30:00,-13.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2883.48,2883.48,2883.48,1,1,2025-02-11 09:00:00,2025-02-12 20:00:00,-346.7,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2889.67,2889.67,2889.67,1,1,2025-02-10 15:59:00,2025-02-11 22:00:00,-6.3,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2900.0,2900.0,2900.0,1,1,2025-02-14 06:07:00,2025-02-15 00:27:00,-290.2,損切集中・恐怖の出口
