symbol,year,direction,trades,total_r,pf,win_rate
XAUUSD,2022,long,7,-3.2281363803159686,0.47933114292734313,0.14285714285714285
AUDJPY,2018,short,7,-3.2784714935723116,0.47369043614232875,0.14285714285714285
SILVER,2024,short,3,-3.299782795062142,0.0,0.0
SILVER,2016,long,3,-3.7453676738846147,0.0,0.0
EURJPY,2018,long,4,-4.119910636862404,0.0,0.0
GBPJPY,2023,long,4,-4.133014232916233,0.0,0.0
GBPJPY,2018,long,4,-4.135557089973506,0.0,0.0
CHFJPY,2016,short,4,-4.146386141226747,0.0,0.0
CHFJPY,2020,short,4,-4.19789024104068,0.0,0.0
USDJPY,2021,short,4,-4.198352714123424,0.0,0.0
AUDJPY,2022,short,5,-5.107823572940723,0.0,0.0
EURJPY,2023,long,5,-5.12950576185867,0.0,0.0
AUDJPY,2017,long,6,-6.256073366420585,0.0,0.0
