prox_yen,prox_half,ext_atr,swing_len,big_mult,fwd_bars,strict_f1,wick_atr,sweep_lb,revenge_bars,stop_count,stop_long,stop_short,adverse_rate,sweep_down_n,sweep_down_up_edge,sweep_up_n,sweep_up_dn_edge,avg_fwd_up_after_sweep_dn,avg_fwd_dn_after_sweep_up,revenge_after_stop_n,revenge_fwd_up_rate,chain_stop_sweep_up,chain_n,score_edge,symbol
0.15,0.1,0.6,36,0.95,72,False,0.4,12,72,1636,891,745,0.5036674816625917,90,0.5777777777777777,94,0.43617021276595747,174.95999999999992,127.39042553191501,879,0.5290102389078498,0.2777777777777778,18,0.42777777777777776,GBPJPY
0.15,0.1,0.6,36,0.95,72,False,0.4,20,72,1636,891,745,0.5036674816625917,67,0.5970149253731343,79,0.43037974683544306,185.073134328358,127.74556962025332,879,0.5290102389078498,0.23076923076923078,13,0.41389207807118256,GBPJPY
0.15,0.1,0.6,36,0.95,72,False,0.4,32,72,1636,891,745,0.5036674816625917,49,0.6326530612244898,58,0.4482758620689655,197.96938775510205,136.00172413793103,879,0.5290102389078498,0.1,10,0.3663265306122449,GBPJPY
0.15,0.1,0.6,36,0.95,72,False,0.55,12,72,1636,891,745,0.5036674816625917,52,0.6346153846153846,41,0.5121951219512195,186.85192307692296,154.8365853658537,879,0.5290102389078498,0.2222222222222222,9,0.4284188034188034,GBPJPY
0.15,0.1,0.6,36,0.95,72,False,0.55,20,72,1636,891,745,0.5036674816625917,39,0.6153846153846154,35,0.4857142857142857,186.2615384615383,154.1657142857143,879,0.5290102389078498,0.14285714285714285,7,0.3791208791208791,GBPJPY
0.15,0.1,0.6,36,0.95,72,False,0.55,32,72,1636,891,745,0.5036674816625917,32,0.6875,28,0.5,200.65,167.5357142857142,879,0.5290102389078498,0.0,6,0.34375,GBPJPY
0.15,0.1,0.6,36,1.05,12,True,0.25,12,72,1879,1054,825,0.5103778605641298,148,0.5608108108108109,154,0.4805194805194805,70.98040540540528,54.304545454545526,1038,0.5077071290944123,0.030303030303030304,33,0.29555692055692057,GBPJPY
0.15,0.1,0.6,36,1.05,12,True,0.25,20,72,1879,1054,825,0.5103778605641298,116,0.5172413793103449,128,0.4765625,73.2413793103447,56.12968750000012,1038,0.5077071290944123,0.043478260869565216,23,0.280359820089955,GBPJPY
0.15,0.1,0.6,36,1.05,12,True,0.25,32,72,1879,1054,825,0.5103778605641298,86,0.5581395348837209,99,0.494949494949495,79.46162790697669,58.76868686868697,1038,0.5077071290944123,0.05555555555555555,18,0.30684754521963825,GBPJPY
0.15,0.1,0.6,36,1.05,12,True,0.4,12,72,1879,1054,825,0.5103778605641298,90,0.5777777777777777,94,0.4787234042553192,78.3744444444443,49.17553191489364,1038,0.5077071290944123,0.0,17,0.28888888888888886,GBPJPY
0.15,0.1,0.6,36,1.05,12,True,0.4,20,72,1879,1054,825,0.5103778605641298,67,0.5373134328358209,79,0.4810126582278481,84.47611940298489,51.088607594936775,1038,0.5077071290944123,0.0,11,0.26865671641791045,GBPJPY
0.15,0.1,0.6,36,1.05,12,True,0.4,32,72,1879,1054,825,0.5103778605641298,49,0.5510204081632653,58,0.5,93.06734693877547,53.1,1038,0.5077071290944123,0.0,9,0.2755102040816326,GBPJPY
0.15,0.1,0.6,36,1.05,12,True,0.55,12,72,1879,1054,825,0.5103778605641298,52,0.6153846153846154,41,0.5365853658536586,88.80576923076902,50.785365853658476,1038,0.5077071290944123,0.0,8,0.3076923076923077,GBPJPY
0.15,0.1,0.6,36,1.05,12,True,0.55,20,72,1879,1054,825,0.5103778605641298,39,0.5641025641025641,35,0.5428571428571428,92.679487179487,50.76285714285712,1038,0.5077071290944123,0.0,5,0.28205128205128205,GBPJPY
0.15,0.1,0.6,36,1.05,12,True,0.55,32,72,1879,1054,825,0.5103778605641298,32,0.59375,28,0.5357142857142857,100.39374999999993,52.83214285714288,1038,0.5077071290944123,0.0,5,0.296875,GBPJPY
0.15,0.1,0.6,36,1.05,12,False,0.25,12,72,1398,769,629,0.5143061516452074,148,0.5608108108108109,154,0.4805194805194805,70.98040540540528,54.304545454545526,753,0.5086321381142098,0.034482758620689655,29,0.29764678471575023,GBPJPY
0.15,0.1,0.6,36,1.05,12,False,0.25,20,72,1398,769,629,0.5143061516452074,116,0.5172413793103449,128,0.4765625,73.2413793103447,56.12968750000012,753,0.5086321381142098,0.05,20,0.28362068965517245,GBPJPY
0.15,0.1,0.6,36,1.05,12,False,0.25,32,72,1398,769,629,0.5143061516452074,86,0.5581395348837209,99,0.494949494949495,79.46162790697669,58.76868686868697,753,0.5086321381142098,0.0625,16,0.31031976744186046,GBPJPY
0.15,0.1,0.6,36,1.05,12,False,0.4,12,72,1398,769,629,0.5143061516452074,90,0.5777777777777777,94,0.4787234042553192,78.3744444444443,49.17553191489364,753,0.5086321381142098,0.0,14,0.28888888888888886,GBPJPY
0.15,0.1,0.6,36,1.05,12,False,0.4,20,72,1398,769,629,0.5143061516452074,67,0.5373134328358209,79,0.4810126582278481,84.47611940298489,51.088607594936775,753,0.5086321381142098,0.0,9,0.26865671641791045,GBPJPY
0.15,0.1,0.6,36,1.05,12,False,0.4,32,72,1398,769,629,0.5143061516452074,49,0.5510204081632653,58,0.5,93.06734693877547,53.1,753,0.5086321381142098,0.0,8,0.2755102040816326,GBPJPY
0.15,0.1,0.6,36,1.05,12,False,0.55,12,72,1398,769,629,0.5143061516452074,52,0.6153846153846154,41,0.5365853658536586,88.80576923076902,50.785365853658476,753,0.5086321381142098,0.0,7,0.3076923076923077,GBPJPY
0.15,0.1,0.6,36,1.05,12,False,0.55,20,72,1398,769,629,0.5143061516452074,39,0.5641025641025641,35,0.5428571428571428,92.679487179487,50.76285714285712,753,0.5086321381142098,0.0,5,0.28205128205128205,GBPJPY
0.15,0.1,0.6,36,1.05,12,False,0.55,32,72,1398,769,629,0.5143061516452074,32,0.59375,28,0.5357142857142857,100.39374999999993,52.83214285714288,753,0.5086321381142098,0.0,5,0.296875,GBPJPY
0.15,0.1,0.6,36,1.05,24,True,0.25,12,72,1879,1054,825,0.5114422565194252,148,0.5675675675675675,154,0.461038961038961,102.09256756756747,71.16428571428581,1038,0.49614643545279385,0.15151515151515152,33,0.3595413595413595,GBPJPY
0.15,0.1,0.6,36,1.05,24,True,0.25,20,72,1879,1054,825,0.5114422565194252,116,0.5258620689655172,128,0.453125,102.76810344827575,73.16562500000012,1038,0.49614643545279385,0.043478260869565216,23,0.2846701649175412,GBPJPY
0.15,0.1,0.6,36,1.05,24,True,0.25,32,72,1879,1054,825,0.5114422565194252,86,0.5930232558139535,99,0.46464646464646464,110.853488372093,75.59696969696977,1038,0.49614643545279385,0.05555555555555555,18,0.32428940568475456,GBPJPY
0.15,0.1,0.6,36,1.05,24,True,0.4,12,72,1879,1054,825,0.5114422565194252,90,0.5666666666666667,94,0.5,108.10444444444433,69.61595744680864,1038,0.49614643545279385,0.17647058823529413,17,0.3715686274509804,GBPJPY
0.15,0.1,0.6,36,1.05,24,True,0.4,20,72,1879,1054,825,0.5114422565194252,67,0.5223880597014925,79,0.4936708860759494,116.31194029850725,71.92658227848116,1038,0.49614643545279385,0.0,11,0.26119402985074625,GBPJPY
0.15,0.1,0.6,36,1.05,24,True,0.4,32,72,1879,1054,825,0.5114422565194252,49,0.5714285714285714,58,0.5172413793103449,127.51020408163258,73.79655172413796,1038,0.49614643545279385,0.0,9,0.2857142857142857,GBPJPY
0.15,0.1,0.6,36,1.05,24,True,0.55,12,72,1879,1054,825,0.5114422565194252,52,0.5769230769230769,41,0.5853658536585366,122.33846153846133,76.89024390243904,1038,0.49614643545279385,0.25,8,0.41346153846153844,GBPJPY
0.15,0.1,0.6,36,1.05,24,True,0.55,20,72,1879,1054,825,0.5114422565194252,39,0.5128205128205128,35,0.5714285714285714,126.22307692307662,77.0685714285714,1038,0.49614643545279385,0.0,5,0.2564102564102564,GBPJPY
0.15,0.1,0.6,36,1.05,24,True,0.55,32,72,1879,1054,825,0.5114422565194252,32,0.5625,28,0.5357142857142857,137.57499999999982,78.54285714285712,1038,0.49614643545279385,0.0,5,0.28125,GBPJPY
0.15,0.1,0.6,36,1.05,24,False,0.25,12,72,1398,769,629,0.5135908440629471,148,0.5675675675675675,154,0.461038961038961,102.09256756756747,71.16428571428581,753,0.49667994687915007,0.13793103448275862,29,0.3527493010251631,GBPJPY
0.15,0.1,0.6,36,1.05,24,False,0.25,20,72,1398,769,629,0.5135908440629471,116,0.5258620689655172,128,0.453125,102.76810344827575,73.16562500000012,753,0.49667994687915007,0.05,20,0.28793103448275864,GBPJPY
0.15,0.1,0.6,36,1.05,24,False,0.25,32,72,1398,769,629,0.5135908440629471,86,0.5930232558139535,99,0.46464646464646464,110.853488372093,75.59696969696977,753,0.49667994687915007,0.0625,16,0.32776162790697677,GBPJPY
0.15,0.1,0.6,36,1.05,24,False,0.4,12,72,1398,769,629,0.5135908440629471,90,0.5666666666666667,94,0.5,108.10444444444433,69.61595744680864,753,0.49667994687915007,0.14285714285714285,14,0.3547619047619047,GBPJPY
0.15,0.1,0.6,36,1.05,24,False,0.4,20,72,1398,769,629,0.5135908440629471,67,0.5223880597014925,79,0.4936708860759494,116.31194029850725,71.92658227848116,753,0.49667994687915007,0.0,9,0.26119402985074625,GBPJPY
0.15,0.1,0.6,36,1.05,24,False,0.4,32,72,1398,769,629,0.5135908440629471,49,0.5714285714285714,58,0.5172413793103449,127.51020408163258,73.79655172413796,753,0.49667994687915007,0.0,8,0.2857142857142857,GBPJPY
0.15,0.1,0.6,36,1.05,24,False,0.55,12,72,1398,769,629,0.5135908440629471,52,0.5769230769230769,41,0.5853658536585366,122.33846153846133,76.89024390243904,753,0.49667994687915007,0.14285714285714285,7,0.35989010989010983,GBPJPY
0.15,0.1,0.6,36,1.05,24,False,0.55,20,72,1398,769,629,0.5135908440629471,39,0.5128205128205128,35,0.5714285714285714,126.22307692307662,77.0685714285714,753,0.49667994687915007,0.0,5,0.2564102564102564,GBPJPY
0.15,0.1,0.6,36,1.05,24,False,0.55,32,72,1398,769,629,0.5135908440629471,32,0.5625,28,0.5357142857142857,137.57499999999982,78.54285714285712,753,0.49667994687915007,0.0,5,0.28125,GBPJPY
0.15,0.1,0.6,36,1.05,48,True,0.25,12,72,1879,1054,825,0.5071846726982437,148,0.6148648648648649,154,0.4090909090909091,145.35405405405407,103.22077922077925,1038,0.5173410404624278,0.2727272727272727,33,0.4437960687960688,GBPJPY
0.15,0.1,0.6,36,1.05,48,True,0.25,20,72,1879,1054,825,0.5071846726982437,116,0.5948275862068966,128,0.421875,148.45086206896548,106.67968750000006,1038,0.5173410404624278,0.17391304347826086,23,0.3843703148425787,GBPJPY
0.15,0.1,0.6,36,1.05,48,True,0.25,32,72,1879,1054,825,0.5071846726982437,86,0.627906976744186,99,0.41414141414141414,157.7302325581396,109.88787878787879,1038,0.5173410404624278,0.2222222222222222,18,0.42506459948320413,GBPJPY
