strategy,excluded_symbols,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,research_trades,research_total_r,oos_trades,oos_total_r
SHELF8_TIGHT_BREAK_RR15,"CHFJPY,EURJPY,SILVER",20,55.00000000000001,7.0515417891455145,0.3525770894572757,1.7662596155332961,2.088204849396216,17,5.073343826178213,3,1.9781979629673005
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,GBPJPY",38,55.26315789473685,13.497827670552947,0.3552059913303407,1.7660432216996431,4.305989727610994,32,9.575804309563978,6,3.9220233609889683
SHELF6_DON20_EMA_RR15,"SILVER,USDJPY,XAUUSD",33,54.54545454545454,11.431316077635557,0.3464035175041078,1.7610812079631075,7.435922214307938,31,10.968790966830207,2,0.4625251108053514
SHELF6_DON55_BREAK_RR15,"AUDJPY,XAUUSD",33,54.54545454545454,11.29695144543544,0.3423318619828921,1.7553258365714157,5.4896098264804944,32,12.307677524484678,1,-1.0107260790492378
SHELF6_DON55_BREAK_RR15,"GBPJPY,SILVER,XAUUSD",31,54.83870967741935,10.637625211308798,0.34314920036479996,1.7454452446917916,4.108368042388506,30,11.648351290358036,1,-1.0107260790492378
SHELF6_DON20_BREAK_RR15,"AUDJPY,USDJPY,XAUUSD",33,54.54545454545454,11.17306839034353,0.33857783001041003,1.739728108326334,6.098628831833034,32,12.18877394841388,1,-1.0157055580703498
SHELF8_TIGHT_BREAK_RR15,"CHFJPY,GBPJPY",22,54.54545454545454,7.552417859125492,0.3432917208693405,1.738803074059426,4.693652698708015,19,5.574219896158191,3,1.9781979629673005
SHELF8_TIGHT_BREAK_RR15,"CHFJPY,GBPJPY,SILVER",22,54.54545454545454,7.552417859125492,0.3432917208693405,1.738803074059426,4.693652698708015,19,5.574219896158191,3,1.9781979629673005
SHELF6_PRECALM_BREAK_RR15,CHFJPY,42,54.761904761904766,14.46651681711024,0.3444408765978628,1.7358103621323064,5.193700546863649,36,10.54449345612127,6,3.9220233609889683
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"CHFJPY,GBPJPY,XAUUSD",31,54.83870967741935,10.661078699293048,0.34390576449332416,1.7320685124039152,5.178810915181483,26,5.729084265301167,5,4.931994433991882
SHELF6_DON55_BREAK_RR15,USDJPY,35,54.285714285714285,11.59759274314133,0.3313597926611809,1.7197803956425546,6.121611820081199,34,10.104076467083752,1,1.4935162760575778
SHELF6_OVERHEAD_ROOM_RR15,"CHFJPY,SILVER,XAUUSD",80,53.75,26.299433822878722,0.32874292278598405,1.7041354126040293,9.31885561726545,69,19.95127468392346,11,6.3481591389552605
SHELF6_DON20_EMA_RR15,"USDJPY,XAUUSD",37,54.054054054054056,12.056281845507423,0.3258454552839844,1.7029198349239418,7.132794297933194,35,11.59375673470207,2,0.4625251108053514
SHELF6_DON20_EMA_RR15,"EURJPY,USDJPY,XAUUSD",26,53.84615384615385,8.468539404587327,0.3257130540225895,1.701778067615568,4.386943888618791,25,6.9903087357116265,1,1.4782306688757012
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"CHFJPY,XAUUSD",35,54.285714285714285,11.629767845850338,0.33227908131000966,1.7004440878036475,6.1998911911097245,30,6.697773411858457,5,4.931994433991882
SHELF6_DON55_BREAK_RR15,"EURJPY,GBPJPY,USDJPY",22,54.54545454545454,7.209930667562896,0.3277241212528589,1.6978992603911802,4.872855232338085,21,5.716414391505318,1,1.4935162760575778
SHELF6_PRECALM_BREAK_RR15,"AUDJPY,CHFJPY,USDJPY",22,54.54545454545454,7.301874368460011,0.3319033803845459,1.6956207021736553,3.932287885273756,19,7.843483438101565,3,-0.541609069641553
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"AUDJPY,CHFJPY,USDJPY",22,54.54545454545454,7.301874368460011,0.3319033803845459,1.6956207021736553,3.932287885273756,19,7.843483438101565,3,-0.541609069641553
SHELF6_DON20_EMA_RR15,"CHFJPY,USDJPY,XAUUSD",26,53.84615384615385,8.341644501961884,0.32083248084468785,1.6952866406613032,6.144954188183998,24,7.879119391156532,2,0.4625251108053514
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"CHFJPY,GBPJPY",35,54.285714285714285,11.540201112841046,0.32972003179545845,1.6949446343892676,4.305989727610994,29,7.618177751852078,6,3.9220233609889683
SHELF6_BREAK_RR15,"CHFJPY,USDJPY,XAUUSD",74,54.054054054054056,24.010226083119093,0.3244625146367445,1.689137709085724,4.303413411179848,63,22.810592516907867,11,1.1996335662112183
SHELF6_DON55_BREAK_RR15,"EURJPY,XAUUSD",30,53.333333333333336,9.559994994151234,0.31866649980504114,1.6850243523154795,4.365035214893014,29,10.570721073200472,1,-1.0107260790492378
SHELF6_DON55_BREAK_RR15,"CHFJPY,GBPJPY,XAUUSD",24,54.166666666666664,7.622406426237978,0.31760026775991573,1.6821988734724518,2.040026952241585,23,8.633132505287218,1,-1.0107260790492378
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,EURJPY,SILVER",28,53.57142857142857,9.012454008755517,0.3218733574555542,1.680329736559996,3.866690364649586,24,5.558792651127909,4,3.453661357627608
V_CONTEXT_RECLAIM_RR15,"EURJPY,SILVER,XAUUSD",150,55.333333333333336,39.92826146986395,0.266188409799093,1.6773249268220456,9.617666853452198,133,35.09928709637148,17,4.828974373492478
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,CHFJPY,39,53.84615384615385,12.508890259398338,0.32074077588200867,1.670847565573101,4.724866007293999,33,8.58686689840937,6,3.9220233609889683
SHELF6_PRECALM_BREAK_RR15,"GBPJPY,SILVER,XAUUSD",43,53.48837209302325,13.678530504989654,0.31810536058115474,1.6678401081751693,7.251633296757145,37,7.26723797822885,6,6.411292526760803
SHELF6_BREAK_RR15,"CHFJPY,XAUUSD",101,53.46534653465347,31.585142598773324,0.3127241841462705,1.6575055168639192,7.50856599482675,87,28.410833349856517,14,3.1743092489168006
SHELF6_DON55_BREAK_RR15,"AUDJPY,USDJPY",30,53.333333333333336,9.223480588947712,0.30744935296492376,1.6557634254304676,6.554505372702163,29,7.729964312890135,1,1.4935162760575778
SHELF6_DON20_PRECALM_RR15,"GBPJPY,SILVER",15,53.333333333333336,4.67365240643213,0.31157682709547535,1.652040839135327,3.0879555099392455,14,3.195421737556429,1,1.4782306688757012
SHELF6_PRECALM_BREAK_RR15,"SILVER,XAUUSD",47,53.191489361702125,14.647219651546946,0.31164297130950946,1.6503454869872782,7.82914981146271,41,8.235927124786143,6,6.411292526760803
V_CONTEXT_RECLAIM_RR15,"AUDJPY,EURJPY,XAUUSD",145,54.48275862068965,37.36255079599002,0.257672764110276,1.649665817266486,8.814622884992506,128,34.096666045223664,17,3.2658847507663546
SHELF6_BREAK_RR15,"CHFJPY,GBPJPY,XAUUSD",84,53.57142857142857,26.003194121773944,0.3095618347830231,1.6463681583820649,6.544558510509468,71,21.811912501516655,13,4.191281620257286
SHELF6_PRECALM_BREAK_RR15,"GBPJPY,SILVER",47,53.191489361702125,14.557652918537652,0.309737296139099,1.6462966964387118,7.251633296757145,40,9.156331464779763,7,5.401321453757891
SHELF6_EMA_UP_RR15,"CHFJPY,GBPJPY,XAUUSD",73,53.42465753424658,22.481765860753615,0.3079693953527893,1.6452369275246663,6.317536218566893,62,23.78107109639796,11,-1.2993052356443453
SHELF6_DON55_BREAK_RR15,"SILVER,XAUUSD",36,52.77777777777778,10.914218681409402,0.30317274115026116,1.6418686017615975,6.405062167134599,35,11.92494476045864,1,-1.0107260790492378
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"SILVER,USDJPY,XAUUSD",32,53.125,9.876059898424362,0.3086268718257613,1.6409931134574314,6.227376554477061,28,6.4501691334183775,4,3.425890765005984
SHELF6_DON55_BREAK_RR15,"GBPJPY,SILVER,USDJPY",28,53.57142857142857,8.564154354821063,0.3058626555293237,1.640117998761224,6.196572891784723,27,7.070638078763486,1,1.4935162760575778
SHELF6_BREAK_RR2,"CHFJPY,SILVER,XAUUSD",90,45.55555555555556,31.72488857956067,0.35249876199511854,1.6400232836137396,12.165560568952522,79,24.867104968389544,11,6.857783611171124
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"GBPJPY,SILVER,USDJPY",32,53.125,9.786493165415068,0.3058279114192209,1.6350765166685703,6.227376554477061,27,7.370573473411998,5,2.415919692003071
SHELF6_DON20_PRECALM_RR15,"CHFJPY,XAUUSD",15,53.333333333333336,4.575210174344029,0.3050140116229353,1.6335815907128206,4.180338768793499,14,3.096979505468328,1,1.4782306688757012
SHELF6_PRECALM_BREAK_RR15,SILVER,51,52.94117647058824,15.526342065094942,0.30443807970774395,1.6320464937785517,7.251633296757147,44,10.125020611337055,7,5.401321453757891
SHELF6_DON20_PRECALM_RR15,SILVER,17,52.94117647058824,5.158571350871602,0.30344537358068246,1.6299537350499234,4.109035785867487,16,3.680340681995901,1,1.4782306688757012
V_CONTEXT_RECLAIM_RR15,"EURJPY,USDJPY,XAUUSD",141,56.02836879432624,35.978252653282055,0.2551649124346245,1.6253758219116117,7.35548855596,126,33.01480631438139,15,2.9634463389006584
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"SILVER,USDJPY",36,52.77777777777778,10.755182311972357,0.29875506422145437,1.616328276790368,6.227376554477059,31,8.339262619969288,5,2.415919692003071
SHELF6_BREAK_RR15,"CHFJPY,SILVER,USDJPY",78,52.56410256410257,23.058600650188545,0.2956230852588275,1.6153701725110947,6.306625908262214,67,19.203738406738047,11,3.854862243450493
SHELF6_AFTER_DORMANT60_RR15,"GBPJPY,USDJPY,XAUUSD",15,53.333333333333336,4.416510050168144,0.29443400334454295,1.612667365742137,3.0795702396826243,13,3.993997374139523,2,0.42251267602862064
SHELF6_BREAK_RR15,"CHFJPY,SILVER",105,52.38095238095239,30.63351716584278,0.291747782531836,1.604593310963369,9.895970486960378,91,24.803979239686697,14,5.829537926156073
SHELF6_DON55_BREAK_RR15,"AUDJPY,EURJPY,XAUUSD",25,52.0,7.185882839957616,0.28743531359830465,1.603436085769218,4.797928767513979,24,8.196608919006854,1,-1.0107260790492378
SHELF6_DON20_PRECALM_RR15,"GBPJPY,XAUUSD",17,52.94117647058824,4.983277873447373,0.29313399255572786,1.6028205048234068,4.200220240494714,16,3.505047204571672,1,1.4782306688757012
V_CONTEXT_RECLAIM_RR15,"EURJPY,GBPJPY,XAUUSD",143,53.84615384615385,35.55934895226088,0.24866677588993624,1.600445123517339,8.648634314899736,125,28.447886862803923,18,7.111462089456967
SHELF6_BREAK_RR15,"CHFJPY,EURJPY,XAUUSD",78,52.56410256410257,22.665542410541917,0.2905838770582297,1.5985644056937827,7.610121799447146,68,20.432615962759566,10,2.2329264477823476
SHELF8_TIGHT_BREAK_RR15,"EURJPY,GBPJPY,XAUUSD",19,52.63157894736842,5.523392954601698,0.29070489234745783,1.596172147482171,3.124915617908112,17,2.5425196200222864,2,2.980873334579411
V_CONTEXT_RECLAIM_RR15,"EURJPY,XAUUSD",182,54.395604395604394,44.04757390125957,0.24201963682010752,1.5955428120327704,9.938887293988902,161,38.856284276276654,21,5.191289624982928
