strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_mfe_24_atr,avg_mfe_48_atr,avg_mfe_72_atr,avg_mae_24_atr,avg_fwd_48_atr,hit_mfe3atr_48_pct,hit_mfe5atr_72_pct
SHELF6_DON20_EMA_RR15,CHFJPY,11,54.54545454545454,3.7146373435455375,0.3376943039586852,1.7206872616567956,3.079797316456559,3,26.545454545454547,2.6230814416419004,3.886091046448682,4.769258246756464,2.01452325922762,1.6817662849526662,45.45454545454545,36.36363636363637
SHELF6_DON20_EMA_RR15,EURJPY,11,54.54545454545454,3.5877424409200946,0.3261584037200086,1.7056296639918063,3.0606567670222646,3,12.454545454545455,3.9515738399650235,5.939437181308722,6.4007863831344025,2.6892135421496985,1.7865578715728354,72.72727272727273,45.45454545454545
SHELF8_TIGHT_BREAK_RR15,USDJPY,4,75.0,3.4358214286391533,0.8589553571597883,4.41107461319197,1.007254844368246,1,7.5,4.703180447726123,5.684073990880938,8.150852043539697,1.7137608013826342,2.284518796591818,75.0,75.0
SHELF6_AFTER_DORMANT60_RR15,EURJPY,4,75.0,3.2703435793135665,0.8175858948283916,4.21670376550148,0.0,1,10.5,5.417872470257945,5.417872470257945,5.417872470257945,1.5550427306311356,-1.5002957570755644,75.0,25.0
SHELF6_DON55_BREAK_RR15,SILVER,2,100.0,2.756844918219657,1.3784224591098284,inf,0.0,0,24.0,3.7627493609228466,4.95791014924444,5.266194651773382,1.5996676504001357,2.805317075266032,100.0,100.0
SHELF6_DON55_BREAK_RR15,AUDJPY,5,60.0,2.374112154193617,0.47482243083872344,2.1595594673506913,1.0273793425174653,1,10.4,2.744236423604197,5.508368938386599,7.252426841683926,1.4546674625477176,2.986882956750422,100.0,100.0
SHELF6_AFTER_DORMANT120_RR15,EURJPY,5,60.0,2.26143385294692,0.452286770589384,2.1164348643471502,1.0089097263666467,1,13.6,4.808392865812314,4.808392865812314,4.808392865812314,1.6053869967045749,-2.4924342620864675,60.0,20.0
SHELF6_DON20_PRECALM_RR15,AUDJPY,3,66.66666666666666,1.9340636788432484,0.6446878929477494,2.8825214784872606,1.0273793425174653,1,12.333333333333334,2.1675065580622284,4.198763373104492,4.540503621322539,2.1797118892629346,1.7809636859744566,100.0,66.66666666666666
SHELF6_AFTER_DORMANT120_RR15,USDJPY,8,50.0,1.8735597772304518,0.23419497215380647,1.4624689632143324,3.040485842737927,3,7.875,5.156519945671544,7.906127314878763,9.43338955296954,2.6282348158406696,0.3946491900996447,75.0,50.0
SHELF6_AFTER_DORMANT60_RR15,USDJPY,8,50.0,1.8735597772304518,0.23419497215380647,1.4624689632143324,3.040485842737927,3,7.875,5.156519945671544,7.906127314878763,9.43338955296954,2.6282348158406696,0.3946491900996447,75.0,50.0
SHELF6_PRECALM_BREAK_RR15,USDJPY,13,46.15384615384615,1.8160144706026151,0.13969342081558578,1.2552454215393587,3.619056901845906,3,10.153846153846153,3.814454162001882,5.224202225605023,6.891688591052212,2.4087028352556055,1.6748558283506954,69.23076923076923,69.23076923076923
SHELF6_DON20_BREAK_RR15,GBPJPY,6,50.0,1.7786638192849094,0.2964439698808182,1.650653448093559,2.733657716709975,3,32.0,2.834419596583048,4.4988251109542325,4.600353735983594,4.953961180626341,-0.7059617030243279,50.0,50.0
SHELF6_PRECALM_AFTER_DORMANT60_RR15,EURJPY,1,100.0,1.5132747632978838,1.5132747632978838,inf,0.0,0,10.0,11.689738150741467,11.689738150741467,11.689738150741467,0.11197067194199356,2.866449201714386,100.0,100.0
SHELF6_PRECALM_AFTER_DORMANT60_RR15,USDJPY,1,100.0,1.4895244181535077,1.4895244181535077,inf,0.0,0,4.0,6.460256383874993,11.019447738120197,13.263713888143457,0.7873437467847998,10.403704551532037,100.0,100.0
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,USDJPY,11,45.45454545454545,1.337286793249757,0.12157152665906881,1.2192088033931263,4.06945282641817,4,11.090909090909092,3.7711749382622837,5.359717636115659,7.330383340735063,1.8381160266153271,2.685601873462062,72.72727272727273,72.72727272727273
SHELF6_PRECALM_BREAK_RR15,GBPJPY,4,50.0,0.9686891465572918,0.24217228663932294,1.4747385836356168,2.040468544054141,2,21.25,4.028009755024374,7.7042366692376865,10.251957886757166,3.414249618632901,6.260631378159835,50.0,50.0
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,GBPJPY,4,50.0,0.9686891465572918,0.24217228663932294,1.4747385836356168,2.040468544054141,2,21.25,4.028009755024374,7.7042366692376865,10.251957886757166,3.414249618632901,6.260631378159835,50.0,50.0
SHELF6_DON20_PRECALM_RR15,CHFJPY,4,50.0,0.892986643542816,0.223246660885704,1.4321255904626418,1.0409617476294566,1,30.25,2.4433487524594715,3.3698937306936507,3.8246596180515633,1.4646183369729737,0.6899977534536751,25.0,25.0
SHELF6_AFTER_DORMANT60_RR15,CHFJPY,4,50.0,0.8834128608388958,0.22085321520972395,1.4293776332040455,1.0335395355672083,1,19.5,1.3742770962909996,2.9254009516989186,3.114565513185031,3.2196465630534066,0.15030829006926316,50.0,25.0
SHELF6_PRECALM_BREAK_RR15,XAUUSD,4,50.0,0.8791224135479982,0.21978060338699956,1.4303144663508336,1.0099710730029132,1,11.75,17.419602539230436,19.265430411851227,21.685808543389676,2.650485760442447,15.742380069893727,50.0,25.0
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,XAUUSD,4,50.0,0.8791224135479982,0.21978060338699956,1.4303144663508336,1.0099710730029132,1,11.75,17.419602539230436,19.265430411851227,21.685808543389676,2.650485760442447,15.742380069893727,50.0,25.0
SHELF6_DON20_BREAK_RR15,SILVER,4,50.0,0.6249657678718643,0.15624144196796608,1.2931525306065816,2.1318791503477925,2,18.25,2.64323770660211,3.2408181007629064,3.3949603520273772,3.421751849410504,-0.2202986499086904,50.0,50.0
SHELF6_DON20_EMA_RR15,SILVER,4,50.0,0.6249657678718643,0.15624144196796608,1.2931525306065816,2.1318791503477925,2,18.25,2.64323770660211,3.2408181007629064,3.3949603520273772,3.421751849410504,-0.2202986499086904,50.0,50.0
SHELF6_DON20_PRECALM_RR15,GBPJPY,2,50.0,0.4849189444394717,0.24245947221973585,1.4749077578632521,1.021080275928241,1,13.5,2.22666860355235,7.130071362986089,7.130071362986089,2.4487521244478563,5.926734057760006,50.0,50.0
SHELF6_AFTER_DORMANT60_RR15,SILVER,2,50.0,0.3901970590966284,0.1950985295483142,1.3668739926925548,1.0635724168750726,1,8.5,2.4337690312481866,2.8713886059899942,3.096772077960015,3.5084747123262234,-1.069435865254647,50.0,0.0
SHELF6_EMA_UP_RR15,SILVER,9,44.44444444444444,0.36652831175768674,0.040725367973076305,1.0690816113992516,3.173849890038461,3,14.333333333333334,2.815863030160251,3.4120736870895563,4.201792781625051,3.1611361117633385,-0.13137630558571914,44.44444444444444,33.33333333333333
SHELF6_DON20_EMA_RR15,GBPJPY,5,40.0,0.27659347010060653,0.05531869402012131,1.1011807251543893,2.7336577167099745,3,36.0,2.3637739465354315,4.361060563780853,4.482894913816088,2.5879436883820537,1.8982836004230559,40.0,40.0
SHELF6_DON55_BREAK_RR15,GBPJPY,5,40.0,0.27659347010060653,0.05531869402012131,1.1011807251543893,2.7336577167099745,3,36.0,2.3637739465354315,4.361060563780853,4.482894913816088,2.5879436883820537,1.8982836004230559,40.0,40.0
SHELF6_AFTER_DORMANT60_RR15,AUDJPY,5,40.0,-0.12744344908094685,-0.025488689816189368,0.9585007868681712,1.021582788926613,2,15.0,2.5367952990990594,5.11103803523245,7.412645899236443,1.6555483318190372,3.656943583451554,100.0,80.0
SHELF6_EMA_UP_RR15,CHFJPY,22,40.909090909090914,-0.13437268504601962,-0.0061078493202736195,0.989984653664008,6.257706526325006,6,20.5,2.5331700257085696,3.4264555684570506,3.997782036367431,2.067168590082526,0.4428701013658106,40.909090909090914,31.818181818181817
SHELF6_EMA_UP_RR15,GBPJPY,13,38.46153846153847,-0.407106416456418,-0.03131587818895523,0.9478612893574875,2.886610948444753,3,31.384615384615383,3.2419856113055947,5.162118923190638,6.303757239360191,2.287326204523176,2.688657571627576,30.76923076923077,30.76923076923077
SHELF6_DON20_PRECALM_RR15,SILVER,3,33.33333333333333,-0.7233801254032044,-0.2411267084677348,0.660684272236917,1.0866611734474685,2,12.0,2.7803815698362797,2.804273154771561,2.804273154771561,4.113658823702406,-1.1331916809429587,33.33333333333333,33.33333333333333
SHELF6_PRECALM_BREAK_RR15,CHFJPY,13,38.46153846153847,-0.8981951141698912,-0.0690919318592224,0.8914049454328866,6.225253154099738,6,17.384615384615383,2.6078092656116048,3.0893711972145974,3.497683681049942,2.392024591205666,-0.19927703015155707,30.76923076923077,23.076923076923077
SHELF6_DORMANT120_BREAK_RR15,USDJPY,1,0.0,-1.0100612856850202,-1.0100612856850202,0.0,0.0,1,5.0,0.2814640016167215,4.399178099342231,14.20663486678566,3.6819661248522713,3.4442854123760127,100.0,100.0
SHELF6_DORMANT_ANY_RR15,USDJPY,1,0.0,-1.0100612856850202,-1.0100612856850202,0.0,0.0,1,5.0,0.2814640016167215,4.399178099342231,14.20663486678566,3.6819661248522713,3.4442854123760127,100.0,100.0
SHELF6_PRECALM_AFTER_DORMANT60_RR15,AUDJPY,1,0.0,-1.021582788926613,-1.021582788926613,0.0,0.0,1,16.0,0.9442004242011023,4.770884407567064,6.5096383962845605,2.8824835591648594,4.286313623826137,100.0,100.0
SHELF6_DON20_PRECALM_RR15,XAUUSD,1,0.0,-1.0330055924184478,-1.0330055924184478,0.0,0.0,1,8.0,1.5222868162883558,1.5222868162883558,2.773992898611393,3.470782501110236,-0.5566849813534271,0.0,0.0
SHELF6_PRECALM_AFTER_DORMANT60_RR15,XAUUSD,1,0.0,-1.0330055924184478,-1.0330055924184478,0.0,0.0,1,8.0,1.5222868162883558,1.5222868162883558,2.773992898611393,3.470782501110236,-0.5566849813534271,0.0,0.0
SHELF6_AFTER_DORMANT120_RR15,AUDJPY,6,33.33333333333333,-1.1667392822549882,-0.19445654704249804,0.7161412050882335,2.0494019229064273,3,13.5,2.1822860559097257,4.327488336020884,6.245494889357545,2.2109798068756406,1.6608696147405115,83.33333333333334,66.66666666666666
SHELF6_AFTER_DORMANT120_RR15,CHFJPY,6,33.33333333333333,-1.1891435170419253,-0.19819058617365423,0.7120705841677344,2.6659761881389343,2,16.166666666666668,1.1328085620166142,2.1971068224998294,2.3263971291268493,2.8991775871696266,-0.7671703110893384,33.33333333333333,16.666666666666664
