symbol,timeframe,strategy,note,signal_time,period,pair_key,v_start_i,v_extreme_i,v_start,v_extreme,drop,drop_atr,drop_bars,recovery_bars_at_context,recovery_ratio_at_context,drop_speed,recovery_speed_at_context,speed_ratio_at_context,context_i,shelf_high,shelf_low,shelf_range_atr,shelf_hold_level,risk_atr,entry_close,body_ratio,close_location,ema20_gt_50,don20_break,don55_break,dormant120_break,dormant360_break,dormant1250_break,dormant_break_key,dormant_high_level,dormant_break_atr,recent_dormant_break_key,bars_since_dormant_break,recent_dormant_high_level,nearest_overhead_key,nearest_overhead_level,nearest_overhead_room_atr,pre_calm,mfe_12_atr,mae_12_atr,fwd_12_atr,mfe_24_atr,mae_24_atr,fwd_24_atr,mfe_48_atr,mae_48_atr,fwd_48_atr,mfe_72_atr,mae_72_atr,fwd_72_atr,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost
XAUUSD,H4,SHELF6_DON55_BREAK_RR15,棚ブレイクと同時にH4 Donchian55高値も更新。初動寄り。,2026-01-20 04:00:00,OOS_2025_2026,18426-18437,18426,18437,4642.695,4536.515,106.17999999999938,2.94927294704699,11,4,1.1445940855151644,0.26811572245881726,0.8439300929399658,3.147633735166702,18441,4681.355,4657.898,0.7817175955556265,4589.605,2.1834488528520977,4715.915,0.8341067285382718,0.8470997679814364,True,True,True,False,False,False,NONE,,,NONE,,,NONE,,,False,5.737327929865705,0.0389909019397264,3.8847602043706093,12.559402747028864,0.0389909019397264,12.017529186738335,29.356150093746553,0.0389909019397264,15.979604683844144,29.356150093746553,10.493451478696139,9.86369842403378,2026-01-20 08:00:00,4715.945,4650.39624996477,4814.193125052845,2026-01-21 00:00:00,4814.193125052845,TP,4,65.54875003523011,1.4988558134219263,1.4935162760575778
USDJPY,H4,SHELF6_DORMANT120_BREAK_RR15,自作ライン応用: 直近30本を除いた過去120本の休眠高値を棚ブレイクで更新。,2022-08-22 12:00:00,Research_2015_2024,13852-13860,13852,13860,133.892,132.552,1.3400000000000034,2.8079410122362867,8,9,1.1805970149253653,0.35099262652953583,0.36833853079251877,1.049419568822547,13869,137.433,136.697,1.5345000384435155,133.22199999999998,2.0701338771212145,137.57,0.8849028400597905,0.8849028400597905,True,True,True,True,False,False,dormant120,137.462,0.22517120129335352,NONE,,,NONE,,,False,0.2814640016167215,3.6819661248522713,-1.348942289229558,0.2814640016167215,3.6819661248522713,-1.0424592652469675,4.399178099342231,3.6819661248522713,3.4442854123760127,14.20663486678566,3.6819661248522713,13.193364460965627,2022-08-22 16:00:00,137.571,136.57709123793398,139.059363143099,2022-08-23 12:00:00,136.57709123793398,SL,5,0.9939087620660132,-1.0,-1.0100612856850202
USDJPY,H4,SHELF6_DORMANT_ANY_RR15,自作ライン応用: 120/360/1250本のどれかの休眠高値を棚ブレイクで更新。,2022-08-22 12:00:00,Research_2015_2024,13852-13860,13852,13860,133.892,132.552,1.3400000000000034,2.8079410122362867,8,9,1.1805970149253653,0.35099262652953583,0.36833853079251877,1.049419568822547,13869,137.433,136.697,1.5345000384435155,133.22199999999998,2.0701338771212145,137.57,0.8849028400597905,0.8849028400597905,True,True,True,True,False,False,dormant120,137.462,0.22517120129335352,NONE,,,NONE,,,False,0.2814640016167215,3.6819661248522713,-1.348942289229558,0.2814640016167215,3.6819661248522713,-1.0424592652469675,4.399178099342231,3.6819661248522713,3.4442854123760127,14.20663486678566,3.6819661248522713,13.193364460965627,2022-08-22 16:00:00,137.571,136.57709123793398,139.059363143099,2022-08-23 12:00:00,136.57709123793398,SL,5,0.9939087620660132,-1.0,-1.0100612856850202
GBPJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2015-02-25 16:00:00,Research_2015_2024,3330-3344,3330,3344,184.14,181.51,2.6299999999999955,3.774559020384194,14,10,0.946768060836507,0.269611358598871,0.3573631924242089,1.32547528517111,3354,184.5,183.5,1.7712558868155903,182.825,2.1098186811564137,184.55,0.7741935483871204,0.8709677419355105,True,False,False,False,False,False,NONE,,,NONE,,,NONE,,,False,0.7793525901988557,1.8243935634200599,0.33653861849495814,0.7793525901988557,1.8243935634200599,-1.3284419151116926,0.7793525901988557,5.45546813139204,-3.1528354785317525,0.7793525901988557,8.448890580110383,-8.324902668033305,2015-02-25 20:00:00,184.54,183.35885720868401,186.336714186974,2015-03-04 08:00:00,183.35885720868401,SL,28,1.1811427913159775,-1.0,-1.016932753725482
EURJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2015-04-27 12:00:00,Research_2015_2024,2032-2043,2032,2043,128.71,127.44,1.2700000000000102,2.830295166243616,11,10,0.9370078740157387,0.25729956056760145,0.2652008856558952,1.0307086614173127,2053,129.7,128.82,1.7199346825172146,128.075,2.1067476686265554,129.77,0.6060606060605918,0.8636363636363636,True,False,False,False,False,False,NONE,,,NONE,,,NONE,,,True,6.019771388810251,0.8208779166559786,5.648421855084946,10.690957628828649,0.8208779166559786,9.420551329242052,12.137266339127185,0.8208779166559786,10.43687636891134,12.137266339127185,0.8208779166559786,11.081851874855268,2015-04-27 16:00:00,129.75,128.692088165768,131.386867751348,2015-04-29 12:00:00,131.386867751348,TP,11,1.0579118342319873,1.5472629177424073,1.5354471883068221
CHFJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2015-05-29 08:00:00,Research_2015_2024,2223-2238,2223,2238,130.063,128.46,1.6029999999999802,3.7874187370684766,15,9,0.8128509045539697,0.25249458247123174,0.3420674162611961,1.3547515075899497,2247,131.49,130.621,1.7954505772041596,129.2615,2.1611528008214305,131.546,0.8793706293706005,0.9527972027971764,True,True,True,False,False,False,NONE,,,NONE,,,NONE,,,True,1.8904916894612696,1.3491705718231317,0.9090888998502029,3.6466861550809773,1.3491705718231317,2.62809336502155,6.34502729872724,1.3491705718231317,4.3966844974573975,6.34502729872724,1.3491705718231317,2.396688917786904,2015-05-29 12:00:00,131.547,130.49999973256948,133.11500040114578,2015-06-02 12:00:00,133.11500040114578,TP,13,1.0470002674305192,1.4976122260158222,1.4785100341424005
EURJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2015-05-29 08:00:00,Research_2015_2024,2176-2192,2176,2192,135.33,133.08,2.25,4.859537221193954,16,9,0.7422222222222167,0.30372107632462214,0.40076183503179474,1.3195061728394963,2201,135.9,135.14,1.7139064871032748,134.205,2.1894204985642447,136.0,0.7777777777777357,0.9555555555555345,True,True,False,False,False,False,NONE,,,NONE,,,NONE,,,True,4.2622148166119525,1.9845233008563627,3.3601587707681975,11.320803375339787,1.9845233008563627,10.080476312304528,11.320803375339787,1.9845233008563627,6.201635315176166,11.320803375339787,1.9845233008563627,6.133981111737878,2015-05-29 12:00:00,135.99,135.0291421431509,137.45628678527368,2015-06-02 08:00:00,137.45628678527368,TP,11,0.9608578568491168,1.5260184165865829,1.5130092082932989
USDJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2015-05-31 20:00:00,Research_2015_2024,2220-2229,2220,2229,121.478,120.639,0.8389999999999986,3.350278224901848,9,8,1.0679380214541148,0.37225313610020533,0.4472361873528104,1.201430274135879,2237,124.184,123.606,1.6185036523960292,121.0585,2.0421147708191074,124.246,0.8605769230769394,0.9567307692307673,True,False,False,False,False,False,NONE,,,NONE,,,NONE,,,False,2.2597447188297446,1.3804884093965921,-0.5376344312457176,2.2597447188297446,1.3804884093965921,0.4088261820931148,4.499888182353641,5.012320999634714,-4.5670924862593605,4.499888182353641,5.012320999634714,-2.3829526093235507,2015-06-01 00:00:00,124.252,123.51672000376021,125.33991999435966,2015-06-05 12:00:00,125.33991999435966,TP,27,0.7352799962397825,1.4795996082081417,1.4659993470135888
GBPJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2015-06-12 12:00:00,Research_2015_2024,3824-3834,3824,3834,191.9,189.5,2.4000000000000057,4.106467076821883,10,3,0.7541666666666659,0.41064670768218836,1.0323201957010557,2.513888888888886,3837,192.01,191.04,1.5552199679157381,190.7,1.901419141188874,192.07,0.7294117647058925,0.8705882352941007,True,True,True,False,False,False,NONE,,,NONE,,,NONE,,,False,1.635385945643372,1.0902572970955813,1.2345560570052945,5.980381938480143,1.0902572970955813,4.970290619112149,5.980381938480143,1.0902572970955813,4.393095579473342,5.980381938480143,1.0902572970955813,-0.01603319554550851,2015-06-12 16:00:00,192.06,190.88407350406837,193.84888974389742,2015-06-17 08:00:00,193.84888974389742,TP,16,1.175926495931634,1.5212598322143909,1.5042519664428684
CHFJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2015-06-19 16:00:00,Research_2015_2024,2324-2330,2324,2330,133.251,131.489,1.7620000000000005,3.0640886846508733,6,3,0.7883087400680938,0.5106814474418122,0.805149296818011,1.5766174801361876,2333,133.677,132.84,1.649860170607186,132.37,2.1403415813767492,133.799,0.7822931785196244,0.9172714078374622,True,False,False,False,False,False,NONE,,,NONE,,,NONE,,,True,1.417263396256359,3.1400564537363334,-2.619670450103933,1.417263396256359,4.890445738681569,-3.847702572312146,1.417263396256359,8.192137239000674,-6.3412188397173335,1.417263396256359,9.234880405370097,-7.906319168823779,2015-06-19 20:00:00,133.8,132.71317107005316,135.42774339492027,2015-06-23 08:00:00,132.71317107005316,SL,10,1.0868289299468472,-1.0,-1.0184021601274085
AUDJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2015-09-13 20:00:00,Research_2015_2024,2715-2718,2715,2718,85.486,83.334,2.152000000000001,3.1273821651319706,3,3,1.0329925650557612,1.042460721710657,1.0768541748897715,1.0329925650557612,2721,85.601,84.785,1.4946116397116247,84.41,2.0101982668662632,85.746,0.8439425051334575,0.9342915811088088,True,False,False,False,False,False,NONE,,,NONE,,,NONE,,,False,1.0550199809729224,1.4891167439773645,0.09890812321621391,3.225503795995316,1.4891167439773645,1.033040398035986,3.225503795995316,3.196197685412699,-3.067983451613921,3.225503795995316,5.353860077055231,-3.377529244642425,2015-09-14 00:00:00,85.745,84.64850969403706,87.3922354589444,2015-09-17 16:00:00,87.3922354589444,TP,22,1.096490305962945,1.502280001917373,1.4908799923304108
AUDJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2015-11-18 20:00:00,Research_2015_2024,2997-3009,2997,3009,87.949,86.818,1.1310000000000002,3.4881995999723503,12,9,0.7886825817860262,0.2906832999976958,0.30567580736568634,1.0515767757147017,3018,87.879,87.379,1.6804321501137789,87.3835,1.9909277075178813,87.897,0.6028169014084401,0.6901408450704276,True,False,False,False,False,False,NONE,,,NONE,,,NONE,,,True,3.7473636947537097,0.13107370770887972,3.1827384923154587,3.7473636947537097,0.13107370770887972,2.7895173691888675,4.80267508502514,0.13107370770887972,4.735457799020602,9.504524241043496,0.13107370770887972,8.886125209801634,2015-11-19 00:00:00,87.897,87.30461437247465,88.78557844128804,2015-11-20 12:00:00,88.78557844128804,TP,9,0.5923856275253598,1.499999999999988,1.4788988803590435
AUDJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2016-03-04 04:00:00,Research_2015_2024,3434-3445,3434,3445,82.02,79.605,2.414999999999992,4.214052906360846,11,9,0.8662525879917208,0.38309571876007686,0.4056038040076794,1.058753163100992,3454,83.871,83.129,1.5141112606335654,80.8125,1.821247534619762,83.899,0.4900849858357069,0.9575070821529722,True,True,True,False,False,False,NONE,,,NONE,,,NONE,,,True,2.2752480533779513,0.4387249609652642,0.01020290606895019,2.7058106894880383,1.1304819924407135,2.40788583227442,5.115737102976289,1.1304819924407135,1.0019253759718194,5.115737102976289,1.1304819924407135,1.8569289045506168,2016-03-04 08:00:00,83.9,83.00648588573182,85.23777117140227,2016-03-10 12:00:00,85.23777117140227,TP,26,0.8935141142681857,1.4972020587474888,1.4832123524850125
XAUUSD,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2016-03-08 04:00:00,Research_2015_2024,3422-3435,3422,3435,1253.251,1211.459,41.791999999999916,4.339726184998009,13,7,0.6544075421133229,0.33382509115369297,0.4057070780241963,1.215328292496171,3442,1273.111,1258.319,1.587409916894111,1232.355,1.8963260907972344,1273.66,0.6356889319135276,0.8962030762611686,True,False,False,False,False,False,NONE,,,NONE,,,NONE,,,False,0.47004160600297124,3.2997350003150165,-2.9842276209431446,1.1299242168048895,3.9222718396810614,-2.2279757493671326,1.1299242168048895,5.151248203139091,-1.0484718015180694,1.1299242168048895,6.262928795966713,-5.545095850178129,2016-03-08 08:00:00,1273.659,1255.9894189884137,1300.1658715173796,2016-03-09 00:00:00,1255.9894189884137,SL,4,17.669581011586388,-1.0,-1.019808053160436
GBPJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2016-08-24 08:00:00,Research_2015_2024,5731-5738,5731,5738,132.12,130.32,1.8000000000000114,3.1361634318045946,7,5,0.8166666666666609,0.4480233474006564,0.5122400271947468,1.143333333333325,5743,132.42,131.85,1.2561526170234631,131.22,1.8587568603985132,132.58,0.7543859649122641,0.7719298245614201,True,True,True,False,False,False,NONE,,,NONE,,,NONE,,,True,1.4544925039219145,0.5068685998516189,-0.022037765210980803,3.878646677125105,0.5068685998516189,2.7326828861562955,13.685452195992584,0.5068685998516189,11.922430979117566,13.685452195992584,0.5068685998516189,7.779331119461191,2016-08-24 12:00:00,132.57,131.73655837032155,133.8451624445177,2016-08-28 20:00:00,133.8451624445177,TP,15,0.8334416296784468,1.529996101838222,1.5059992203677126
AUDJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2016-10-03 16:00:00,Research_2015_2024,4384-4397,4384,4397,77.338,76.182,1.1559999999999917,3.4275761705450383,13,5,0.7551903114186945,0.26365970542654144,0.5176944631290408,1.9634948096886056,4402,77.902,77.373,1.492128967693287,76.75999999999999,1.8944445901043252,77.956,0.6232558139534801,0.7534883720930399,True,False,False,False,False,False,NONE,,,NONE,,,NONE,,,True,2.9955405740837016,0.1523156224110418,2.572441622941919,2.9955405740837016,0.1523156224110418,0.42027829146749085,3.026567830500752,0.6008005106213314,0.9985135246945672,5.810558929013602,0.6008005106213314,4.084315208355169,2016-10-03 20:00:00,77.955,77.28436825109398,78.96344762335903,2016-10-05 16:00:00,78.96344762335903,TP,11,0.6706317489060183,1.5037278282814421,1.4850886868742845
EURJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2016-10-03 20:00:00,Research_2015_2024,4314-4326,4314,4326,113.6,112.23,1.3699999999999903,3.6257471955113645,12,8,0.7664233576642369,0.30214559962594706,0.3473571674531888,1.1496350364963552,4334,114.08,113.62,1.1494091184555726,112.91499999999999,1.5243448922007408,114.13,0.8275862068965162,0.9310344827585869,True,False,False,False,False,False,NONE,,,NONE,,,NONE,,,True,5.272289652046284,0.14992292849421285,4.497687854826244,5.297276806795331,0.14992292849421285,2.7985613318918783,5.297276806795331,0.5497174044787567,0.8245761067181352,5.297276806795331,2.4487411654053584,-2.2488439274130863,2016-10-04 00:00:00,114.12,113.5199485925825,115.04507711112625,2016-10-04 12:00:00,115.04507711112625,TP,3,0.6000514074175101,1.541663097012924,1.520831548506462
USDJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2016-10-03 20:00:00,Research_2015_2024,4384-4397,4384,4397,101.244,100.085,1.159000000000006,3.383226350794956,13,12,1.1009490940465951,0.2602481808303812,0.3103966654885229,1.1926948518838114,4409,101.657,101.184,1.3962573676212213,100.6645,2.171698829432169,101.835,0.8536585365853139,0.93031358885014,True,False,False,False,False,False,NONE,,,NONE,,,NONE,,,True,5.407914370998085,0.038374938222121305,4.764396176195903,6.866162023439701,0.038374938222121305,3.0316201195496806,8.265371309385717,0.038374938222121305,5.242606944810379,8.265371309385717,0.038374938222121305,4.312752672504496,2016-10-04 00:00:00,101.835,101.09930930991507,102.93853603512738,2016-10-04 16:00:00,102.93853603512738,TP,4,0.7356906900849225,1.5000000000000095,1.486407331049915
GBPJPY,H4,SHELF6_EMA_UP_RR15,棚ブレイク時にEMA20>EMA50。,2016-11-08 16:00:00,Research_2015_2024,6060-6071,6060,6071,128.95,126.48,2.4699999999999847,4.310575908564978,11,3,0.6882591093117463,0.3918705371422707,0.9889310451498678,2.52361673414307,6074,129.97,129.25,1.4808519519214987,127.715,2.1421997163441278,130.17,0.7065217391304197,0.836956521739122,True,True,True,False,False,False,NONE,,,NONE,,,NONE,,,True,8.370927006000752,6.972344606963706,8.20638790023167,10.67447448676754,6.972344606963706,10.30426149878715,15.158165118974262,6.972344606963706,12.46383726200597,22.253914055264822,6.972344606963706,22.109942337716856,2016-11-08 20:00:00,130.16,129.12844834875867,131.73232747686197,2016-11-09 00:00:00,129.12844834875867,SL,1,1.0315516512413296,-1.0,-1.0193882681259
