label,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r,bb_z,high_bb_excess_atr,move_atr
bbz2.4_highEx0.3_move2.0,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.3,2.0
bbz2.4_highEx0.6_move0.8,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.6,0.8
bbz2.4_highEx0.6_move1.2,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.6,1.2
bbz2.4_highEx0.6_move1.6,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.6,1.6
bbz2.4_highEx0.6_move2.0,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.6,2.0
bbz1.8_highEx0.6_move0.8,58,63.793103448275865,2.767675637601352,0.047718545475885374,1.117665384592969,4.966815225644798,-3.280337268624643,-2.3806951234113143,7,-0.3940418161386974,1.8,0.6,0.8
bbz1.8_highEx0.6_move1.2,58,63.793103448275865,2.767675637601352,0.047718545475885374,1.117665384592969,4.966815225644798,-3.280337268624643,-2.3806951234113143,7,-0.3940418161386974,1.8,0.6,1.2
bbz1.8_highEx0.6_move1.6,58,63.793103448275865,2.767675637601352,0.047718545475885374,1.117665384592969,4.966815225644798,-3.280337268624643,-2.3806951234113143,7,-0.3940418161386974,1.8,0.6,1.6
bbz1.8_highEx0.6_move2.0,57,63.1578947368421,2.0646743018615865,0.03622235617301029,1.0877778784793986,5.669816561384565,-3.280337268624643,-3.0836964591510796,7,-0.3940418161386974,1.8,0.6,2.0
bbz1.8_highEx-999.0_move0.8,62,62.903225806451616,1.7700177061180975,0.028548672679324153,1.0686293803665763,5.479193810505052,-2.6651837363842583,-2.893073708271567,7,-0.3940418161386974,1.8,-999.0,0.8
bbz1.8_highEx-999.0_move1.2,62,62.903225806451616,1.7700177061180975,0.028548672679324153,1.0686293803665763,5.479193810505052,-2.6651837363842583,-2.893073708271567,7,-0.3940418161386974,1.8,-999.0,1.2
bbz1.8_highEx-999.0_move1.6,62,62.903225806451616,1.7700177061180975,0.028548672679324153,1.0686293803665763,5.479193810505052,-2.6651837363842583,-2.893073708271567,7,-0.3940418161386974,1.8,-999.0,1.6
bbz1.8_highEx0.0_move0.8,62,62.903225806451616,1.7700177061180975,0.028548672679324153,1.0686293803665763,5.479193810505052,-2.6651837363842583,-2.893073708271567,7,-0.3940418161386974,1.8,0.0,0.8
bbz1.8_highEx0.0_move1.2,62,62.903225806451616,1.7700177061180975,0.028548672679324153,1.0686293803665763,5.479193810505052,-2.6651837363842583,-2.893073708271567,7,-0.3940418161386974,1.8,0.0,1.2
bbz1.8_highEx0.0_move1.6,62,62.903225806451616,1.7700177061180975,0.028548672679324153,1.0686293803665763,5.479193810505052,-2.6651837363842583,-2.893073708271567,7,-0.3940418161386974,1.8,0.0,1.6
bbz1.8_highEx0.3_move0.8,62,62.903225806451616,1.7700177061180975,0.028548672679324153,1.0686293803665763,5.479193810505052,-2.6651837363842583,-2.893073708271567,7,-0.3940418161386974,1.8,0.3,0.8
bbz1.8_highEx0.3_move1.2,62,62.903225806451616,1.7700177061180975,0.028548672679324153,1.0686293803665763,5.479193810505052,-2.6651837363842583,-2.893073708271567,7,-0.3940418161386974,1.8,0.3,1.2
bbz1.8_highEx0.3_move1.6,62,62.903225806451616,1.7700177061180975,0.028548672679324153,1.0686293803665763,5.479193810505052,-2.6651837363842583,-2.893073708271567,7,-0.3940418161386974,1.8,0.3,1.6
bbz1.8_highEx-999.0_move2.0,61,62.295081967213115,1.0670163703783335,0.01749207164554645,1.041371717405392,6.182195146244818,-2.6651837363842583,-3.5960750440113327,7,-0.3940418161386974,1.8,-999.0,2.0
bbz1.8_highEx0.0_move2.0,61,62.295081967213115,1.0670163703783335,0.01749207164554645,1.041371717405392,6.182195146244818,-2.6651837363842583,-3.5960750440113327,7,-0.3940418161386974,1.8,0.0,2.0
bbz1.8_highEx0.3_move2.0,61,62.295081967213115,1.0670163703783335,0.01749207164554645,1.041371717405392,6.182195146244818,-2.6651837363842583,-3.5960750440113327,7,-0.3940418161386974,1.8,0.3,2.0
