signal_i,signal_time,entry_hour,atr,rsi14,bb_z,range_atr,body_ratio,ema20_dist_atr,ema100_slope_atr,h4_slope_atr,family,direction,lookback,move_6_atr,move_12_atr,trigger_atr,wick_ratio,close_location,h4_align,h4_oppose,h4_neutral,h4_context,stop_anchor,range_width_atr,pre_atr_ratio_96,pre_atr_ratio_240,pre_bb_width_atr,pre_bb_width_ratio_96,pre_range_6_atr,pre_range_12_atr,pre_body_mean_6_atr,pre_body_mean_12_atr,high_bb_excess_atr,close_bb_excess_atr,signal_body_atr,body_vs_avg20,signal_bear,signal_bull,bear_engulf,higher_high_atr,quiet_atr,quiet_bb,quiet_range6,quiet_body6,quiet_combo,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,r_after_cost,sample,year,adverse_exit_r,label
22768,2017-08-29 10:00:00,11,0.19714550125554992,74.33382383358277,2.4781031948871792,0.9688275856339156,0.2251308900523864,2.549600214305096,1.3934167080993076,0.3077590172273544,stretch_reversal,short,20,4.205016065395356,4.666604077398913,2.549600214305096,0.6649214659685533,0.6649214659685533,False,True,True,H4逆,115.063,999.0,1.3473347648982619,1.2164944764769114,3.8471806417768524,1.323646180114894,3.9158895084259933,5.275291565755243,0.5900887039899402,0.42650394149416326,1.2102786918637871,0.5660844333533099,0.21811301666106803,0.5654174884945056,False,True,False,0.5326015523118516,False,False,False,False,False,22769,2017-08-29 11:00:00,114.936,115.09257182518833,114.81074253984934,0.15657182518832258,0.7941942585104507,22769,2017-08-29 11:00:00,115.029943095113,AE_0.60R,0,-0.7277369027023326,IS_2014_2024,2017,0.6,base12_no_ae_ae0.6
27175,2018-05-15 16:00:00,17,0.14316058732738815,74.81358713622382,2.140764528939151,1.4179880356020786,0.1921182266009897,2.392299283104301,1.3115171470175269,-0.007979756236022754,stretch_reversal,short,20,4.086320201119188,5.071228147030014,2.392299283104301,0.7980295566501949,0.9901477832511846,False,False,True,H4中立,110.422,999.0,1.1204864779692365,1.1143525319453638,4.630018297950828,1.2954360970878775,4.1422015030149035,4.379697036071349,0.6298288401155411,0.461020740639102,1.5838354878330714,0.17981777770497137,0.2724213467412924,0.8032955715756991,True,False,False,1.0338040850694536,False,False,False,False,False,27176,2018-05-15 17:00:00,110.224,110.44347408809911,110.04842072952071,0.21947408809910485,1.5330622219172547,27178,2018-05-15 19:00:00,110.04842072952071,TP,2,0.7088730693758553,IS_2014_2024,2018,0.6,base12_no_ae_ae0.6
27839,2018-06-22 08:00:00,9,0.15451042123272926,69.41192691658557,2.51949877246178,0.9319759719191197,0.05555555555552266,1.9030452396803539,0.34085872744971624,0.00011994118827081334,stretch_reversal,short,20,2.5176295352537026,3.650239223349794,1.9030452396803539,0.6944444444444774,0.6944444444444774,False,True,True,H4逆,111.4,999.0,0.987286784512133,1.0147353894105937,2.747112428610499,0.8867763924142245,3.1971953481113022,5.119395790194395,0.5112923734833447,0.4012674323540271,1.0852491293374529,0.4380435932824779,0.051776442884364886,0.1548886737656491,False,True,False,-0.1229690518503781,False,True,False,False,False,27840,2018-06-22 09:00:00,111.3,111.42317656318491,111.20145874945207,0.12317656318491288,0.7972055360549424,27841,2018-06-22 10:00:00,111.20145874945207,TP,1,0.6376314496614759,IS_2014_2024,2018,0.6,base12_no_ae_ae0.6
30749,2018-12-10 15:00:00,16,0.14701304845670432,71.69525293292656,2.2375854263794626,1.9113949608544227,0.16014234875440864,2.2686502235265174,1.006578118268133,0.30643498787097695,stretch_reversal,short,20,3.4758819394897884,4.571022824534535,2.2686502235265174,0.6903914590747627,0.6903914590747627,False,True,True,H4逆,114.41,999.0,1.0349536821325407,1.1281134946255058,3.895168816998832,1.0591392259394643,2.720846919365845,3.387454414610461,0.4478060554789512,0.488051916161244,1.5912469411088412,0.2716361852164073,0.30609527842856815,0.6101694915252565,False,True,False,1.3876319288765173,False,False,False,False,False,30750,2018-12-10 16:00:00,114.216,114.4320519572685,114.04315843418519,0.21605195726850468,1.4696107558924096,30750,2018-12-10 16:00:00,114.04315843418519,TP,0,0.7074296745428146,IS_2014_2024,2018,0.6,base12_no_ae_ae0.6
32824,2019-04-12 11:00:00,12,0.10798601320031043,80.96679032009514,1.8619817023690788,0.9353063142783824,0.09900990099015056,3.540750823628288,0.947852521148103,0.21155775984022268,stretch_reversal,short,20,4.574666527262623,5.935953935172807,3.540750823628288,0.8217821782178134,0.920792079207964,False,True,True,H4逆,111.967,999.0,1.128096392974941,1.1157918543249852,7.691943765316473,1.5700889104411908,4.065341306616042,5.7044424712424595,0.6605793770811254,0.6335697062892274,0.5784494388996902,-0.28277320692103886,0.09260458557216528,0.18552875695742768,True,False,False,0.7408366845769274,False,False,False,False,False,32825,2019-04-12 12:00:00,111.875,111.98319790198005,111.78844167841596,0.10819790198004853,1.001962187263503,32825,2019-04-12 12:00:00,111.93991874118802,AE_0.60R,0,-0.7848464677595367,IS_2014_2024,2019,0.6,base12_no_ae_ae0.6
34370,2019-07-12 09:00:00,10,0.11013359312696003,65.94142048005747,2.249295821669184,0.8989082911866711,0.2626262626262148,1.860003871957704,0.22215300450826295,0.08005118787844315,stretch_reversal,short,20,3.3958757667050303,3.2324378955801807,1.860003871957704,0.7272727272727273,0.7272727272727273,False,True,True,H4逆,109.905,999.0,1.1630516742909127,1.0856468546932567,3.294556631965223,1.1898594431286176,3.849869853163031,3.922508906996254,0.6946109522805666,0.5099866904543551,0.8956777814796438,0.24192629698024667,0.23607692495807264,0.5422314911365447,False,True,False,0.10895858074989953,False,False,False,False,False,34371,2019-07-12 10:00:00,109.833,109.92152003896905,109.76218396882476,0.08852003896905103,0.8037514844994362,34372,2019-07-12 11:00:00,109.88611202338143,AE_0.60R,1,-0.8259375417469345,IS_2014_2024,2019,0.6,base12_no_ae_ae0.6
34773,2019-08-06 04:00:00,5,0.22890296207337069,69.93059065975194,2.5167703267565096,1.8697879491083633,0.21962616822428666,2.3189759065917457,-0.10173586031787632,-0.2254760125817712,stretch_reversal,short,20,4.643889228743475,3.765787878811705,2.3189759065917457,0.7640186915887857,0.7640186915887857,False,False,True,H4中立,109.806,999.0,1.2010960102511,2.0733935855929966,3.144052677886996,1.4953468320795713,3.4818247556994617,3.4818247556994617,0.6400091928606975,0.5358893810528708,1.8984573504449864,0.4699044080187356,0.41065436265461736,0.7513988808952379,False,True,False,1.8042579976209179,False,False,False,False,False,34774,2019-08-06 05:00:00,109.479,109.84033544431101,109.1899316445512,0.3613354443110097,1.5785529424262768,34775,2019-08-06 06:00:00,109.1899316445512,TP,1,0.7446497698609422,IS_2014_2024,2019,0.6,base12_no_ae_ae0.6
38663,2020-03-23 16:00:00,17,0.38798655523632336,70.39883076851585,2.2677038267201506,0.8943608878112692,0.002881844380376313,2.290208061806744,0.21329823210171428,0.03637945784638541,stretch_reversal,short,20,3.997561201715535,3.8970422546704593,2.290208061806744,0.7031700288184549,0.7060518731988312,False,True,True,H4逆,113.564,999.0,0.9813917393319512,0.8698733880045375,4.043987078424557,1.4210558432367963,3.8738455745831706,4.824909458163469,0.598388432623016,0.48519722515986513,0.9514907919162501,0.32002561176133376,0.0025774088985672764,0.0058479532163190845,True,False,False,0.4819754640366225,False,False,False,False,False,38664,2020-03-23 17:00:00,113.318,113.62219798328545,113.07464161337164,0.304197983285448,0.7840425890535315,38666,2020-03-23 19:00:00,113.07464161337164,TP,2,0.734253344535677,IS_2014_2024,2020,0.6,base12_no_ae_ae0.6
38921,2020-04-07 10:00:00,11,0.1940298302629353,73.0444078272564,2.1767110553768614,1.0410770329812806,0.11881188118812439,2.214266284163495,0.3799949738524863,-0.28471278911037506,stretch_reversal,short,20,4.123077358341801,3.659231155528338,2.214266284163495,0.797029702970311,0.797029702970311,True,False,True,H4順,112.242,999.0,0.8806178687311157,0.712638826269928,3.9027255351941914,1.0377292612493323,3.9014619503309,4.411692773425637,0.5875385235637084,0.42175645478037993,1.029954069640952,0.2001847512746691,0.12369232075025696,0.31558185404340133,False,True,False,0.7266923844077597,True,False,False,False,False,38922,2020-04-07 11:00:00,112.081,112.27110447453944,111.92891642036845,0.19010447453943868,0.9797693183662675,38923,2020-04-07 12:00:00,112.19506268472367,AE_0.60R,1,-0.705205309072623,IS_2014_2024,2020,0.6,base12_no_ae_ae0.6
44654,2021-03-11 12:00:00,13,0.14590754494073058,75.69877035808688,1.7614019458174444,1.1651213792203672,0.24705882352941866,2.443488985104961,0.42666960916958374,-0.07187015873099688,stretch_reversal,short,20,3.2075106204419437,5.736509378867302,2.443488985104961,0.6705882352941364,0.6705882352941364,False,False,True,H4中立,117.406,999.0,0.977736830862579,0.934527211160985,6.998595153790162,1.5675612209686263,3.598168965239372,5.510338758195107,0.5859875171961584,0.470046517205079,0.3323006366613424,-0.4490160529335138,0.28785351721915753,0.7835820895522769,False,True,False,0.4729022068600445,False,False,False,False,False,44655,2021-03-11 13:00:00,117.293,117.42788613174112,117.18509109460712,0.13488613174111208,0.9244630344229592,44655,2021-03-11 13:00:00,117.18509109460712,TP,0,0.6517267880555996,IS_2014_2024,2021,0.6,base12_no_ae_ae0.6
45322,2021-04-20 07:00:00,8,0.13485448855610724,67.76237886299944,2.1623651681154676,1.1048946282422651,0.16778523489936598,1.906444407661788,0.3463325202071918,0.33819712711938954,stretch_reversal,short,20,2.8400982725959447,3.411084087190924,1.906444407661788,0.617449664429518,0.785234899328884,False,True,True,H4逆,118.644,999.0,1.0314502833934502,0.9853789008826023,3.5232648692985,0.8329104818569288,3.055144878092628,4.0933009046289826,0.5969397152583888,0.36026485920874435,1.0312171995179042,0.16361537734106432,0.1853850047386761,0.4385964912281752,True,False,False,0.5709858145950845,False,True,False,False,False,45323,2021-04-20 08:00:00,118.527,118.66422817328342,118.41721746137327,0.1372281732834182,1.0176018221768226,45323,2021-04-20 08:00:00,118.60933690397005,AE_0.60R,0,-0.7457426672779388,IS_2014_2024,2021,0.6,base12_no_ae_ae0.6
47513,2021-08-25 14:00:00,15,0.12301282616694348,66.2887635397002,2.206649080742415,1.1218342371284302,0.16666666666663235,1.53841938825335,0.5886358240136816,0.10357043598297266,stretch_reversal,short,20,2.064825335004463,3.6093797194565727,1.53841938825335,0.702898550724672,0.702898550724672,False,True,True,H4逆,120.45,999.0,0.9379176458756568,1.0335867857032406,2.907971994704492,0.9148920091767455,2.6663886215805395,3.324856543373314,0.5053673556146061,0.35091191716939707,0.9624522328391999,0.1739165734083083,0.18697237285469986,0.5027322404370549,False,True,False,0.7560187250213334,False,False,False,False,False,47514,2021-08-25 15:00:00,120.359,120.46845192392504,120.27143846085995,0.10945192392505021,0.889760257816616,47514,2021-08-25 15:00:00,120.42467115435502,AE_0.60R,0,-0.7827286289979307,IS_2014_2024,2021,0.6,base12_no_ae_ae0.6
51787,2022-05-03 12:00:00,13,0.21268169725533997,57.918854525403646,2.78411348183162,1.3635399930621477,0.29310344827589757,1.1692829026253495,-1.085022121995689,-0.2020909659221252,stretch_reversal,short,20,2.6659557795387245,2.89164515770075,1.1692829026253495,0.6827586206896018,0.6827586206896018,True,False,True,H4順,133.628,999.0,0.7500405656306817,0.769384884218832,1.7343528840540712,0.36194940608305765,2.7458874343044193,2.7458874343044193,0.5556033649891564,0.4353140610034918,1.3758421634143305,0.4448734784961094,0.3996582738286089,0.9860788863109543,False,True,False,0.8651426162877194,True,True,False,False,True,51788,2022-05-03 13:00:00,133.431,133.65990225458827,133.2478781963294,0.22890225458826308,1.0762668228730992,51788,2022-05-03 13:00:00,133.2478781963294,TP,0,0.7126264612991644,IS_2014_2024,2022,0.6,base12_no_ae_ae0.6
54328,2022-09-28 12:00:00,13,0.3144397906073601,66.52306923938207,2.1296957922943958,1.157614306054864,0.18406593406596625,2.1964752319689396,-0.7052362235540367,-0.27487524359876997,stretch_reversal,short,20,4.970744946054556,3.841752971742765,2.1964752319689396,0.7637362637362912,0.7637362637362912,True,False,True,H4順,146.878,999.0,0.7352010479445912,1.1196066697991485,4.183403469824068,1.0409784356415022,3.9530620396326523,3.9530620396326523,0.872451074984623,0.6312814278898522,1.034809588448467,0.15069756349444569,0.21307735853211385,0.4931910195068654,False,True,False,1.0940091244035515,True,False,False,False,False,54329,2022-09-28 13:00:00,146.602,146.9251659685911,146.3434672251271,0.32316596859109836,1.027751506788893,54329,2022-09-28 13:00:00,146.79589958115466,AE_0.60R,0,-0.6618877045970212,IS_2014_2024,2022,0.6,base12_no_ae_ae0.6
64547,2024-05-20 14:00:00,15,0.1998514594249207,63.666883487032834,2.2943443400557997,1.4911074497904937,0.14093959731544073,1.584572755466839,-0.5683800232462181,0.12017885701187855,stretch_reversal,short,20,3.3675010527147613,3.1823635505595362,1.584572755466839,0.6644295302013634,0.8053691275168041,False,True,True,H4逆,171.954,999.0,0.9532296488172672,1.0385044612302063,2.791189274264962,0.7941718069571428,3.7077537593782797,4.068021331139753,0.6021138583605942,0.45950794453835636,1.4436389059809034,0.24274700010932657,0.21015608352752593,0.4682274247491787,True,False,False,0.5554125064656753,False,True,False,False,False,64548,2024-05-20 15:00:00,171.713,171.98397771891374,171.496217824869,0.27097771891374123,1.3558956221460117,64554,2024-05-20 21:00:00,171.496217824869,TP,6,0.7261931937424199,IS_2014_2024,2024,0.6,base12_no_ae_ae0.6
69549,2025-03-11 13:00:00,14,0.32530742893933984,63.730904673078726,2.458766670502663,1.4140470185381344,0.01956521739133685,1.3846347025234231,-0.3491346918102424,-0.14328637989039564,stretch_reversal,short,20,3.3476026156262937,3.037127074599431,1.3846347025234231,0.9739130434782587,0.9739130434782587,True,False,True,H4順,168.271,999.0,0.8765813630895866,0.9028481959334851,2.4413810456380243,0.710608541968901,3.0125349525378673,3.193901852741672,0.41447972391211535,0.353255586696406,1.7097389063646957,0.33258007091886355,0.027666137319270333,0.09132420091339345,False,True,False,0.8176880585459738,True,True,False,False,True,69550,2025-03-11 14:00:00,167.824,168.31979611434087,167.42736310852732,0.49579611434086246,1.5240848201880863,69552,2025-03-11 16:00:00,167.42736310852732,TP,2,0.7596608375469719,OOS_2025_2026,2025,0.6,base12_no_ae_ae0.6
73980,2025-11-26 07:00:00,8,0.26736365634261505,67.2500173415923,2.2084665098530722,0.8826928956177744,0.09745762711862008,1.8810019357858256,-1.3158395851051952,0.057839791381071586,stretch_reversal,short,20,3.7065621167676204,3.7215230133034787,1.8810019357858256,0.6949152542373004,0.6949152542373004,False,True,True,H4逆,194.217,999.0,1.0588514227247623,1.180784538569419,3.91287993945624,1.0108086430477363,3.9347157889399136,4.981978546452449,0.6663832665362232,0.6249291157180333,0.8456896907547878,0.23229293278310328,0.0860251550813721,0.1858585858585572,False,True,False,0.407684430603126,False,False,False,False,False,73981,2025-11-26 08:00:00,194.054,194.2571045484514,193.8915163612389,0.20310454845139247,0.7596565338376533,73985,2025-11-26 12:00:00,193.8915163612389,TP,4,0.7015285469848568,OOS_2025_2026,2025,0.6,base12_no_ae_ae0.6
76226,2026-04-09 08:00:00,9,0.1973457896216851,68.7623462173515,2.2431154439725463,0.9121045873087517,0.13333333333333333,1.8757627492858087,1.2077379460238367,0.08311632814488405,stretch_reversal,short,20,2.5589600921716555,4.079134404352908,1.8757627492858087,0.7111111111111638,0.7111111111111638,False,True,True,H4逆,201.12,999.0,0.9815895543889857,0.9001014219340102,3.3521097532210726,0.8331824130749952,2.2751942205645843,4.479446973227328,0.348795550517091,0.4079134404352908,0.8858085678930698,0.23720086136235397,0.12161394497450022,0.2711864406779748,False,True,False,0.7550199083833316,False,True,False,False,False,76227,2026-04-09 09:00:00,200.992,201.14960186844326,200.8659185052454,0.1576018684432654,0.7986077065307072,76230,2026-04-09 12:00:00,201.08656112106596,AE_0.60R,3,-0.7269020487989153,OOS_2025_2026,2026,0.6,base12_no_ae_ae0.6
76569,2026-04-29 15:00:00,16,0.19679137266891453,66.276118824474,2.390411634151563,1.183994993479758,0.10729613733895632,1.70162680313389,-1.1569425925842027,-0.12577051971960745,stretch_reversal,short,20,3.3283979430439024,3.1251369999572924,1.70162680313389,0.6738197424893044,0.6738197424893044,False,False,True,H4中立,202.869,999.0,1.0544127446467337,1.0346096398230735,2.8728358014598463,1.2541995437870235,2.72877816093831,2.967609769065109,0.5513453081225475,0.3493547459301872,1.136661601333554,0.33886239971839777,0.12703808942904082,0.42992261392908715,False,True,False,0.762228536574967,False,False,False,False,False,76570,2026-04-29 16:00:00,202.714,202.89851870590033,202.56638503527972,0.18451870590033081,0.9376361544607371,76572,2026-04-29 18:00:00,202.56638503527972,TP,2,0.691609905335161,OOS_2025_2026,2026,0.6,base12_no_ae_ae0.6
