label,bucket,trades,shelf_range_atr_avg,shelf_range_atr_median,sharp_drop_atr_avg,sharp_drop_atr_median,signal_range_atr_avg,signal_range_atr_median,body_ratio_avg,body_ratio_median,close_location_avg,close_location_median,mfe_r_avg,mfe_r_median,mae_r_avg,mae_r_median,bars_held_avg,bars_held_median
BASE_RR25_EX_GBPJPY,loss,22,1.6053776873898165,1.617682041308415,4.188140655359404,3.910105202377978,1.103115009239855,1.0463388319159368,0.6977548328406841,0.7360016823301805,0.8499321795176432,0.8309813309813463,0.6418332072964322,0.4660163659064438,1.219974607614895,1.1578893602977494,20.727272727272727,14.0
NO_PROGRESS_6_05R_RR2,win,21,1.7136503494570514,1.6973844242277238,4.066144329075464,3.9376590216166294,1.2573644742990586,1.1589428383133276,0.6770128634174127,0.6611570247933934,0.7910713652579705,0.8188235294117677,1.554058053507618,2.0321455000279767,0.3862798102231499,0.42481108076258844,29.571428571428573,15.0
NO_PROGRESS_6_05R_RR2,loss,30,1.5361111510498446,1.5594739880468715,4.172715664312537,3.910105202377978,1.141760092102321,1.0890894437675567,0.6778586430258866,0.7121196213274621,0.8325795641598674,0.8259308259308236,0.37681327117893626,0.28384818480888385,1.019083935207373,1.0607578919942364,10.633333333333333,6.0
NO_PROGRESS_6_05R_RR2_EX_GBPJPY,win,20,1.7162579489011924,1.7143440164943773,4.08576367122131,3.9488104742408736,1.2085430859976334,1.140578030970719,0.6778056553486137,0.6784967320261361,0.7905422888927689,0.8211764705882327,1.5445076987251287,2.0375701646923767,0.37026859528577694,0.3978586006294954,25.0,14.5
NO_PROGRESS_6_05R_RR2_EX_GBPJPY,loss,23,1.612521425179992,1.5764271791067643,4.222540651699653,3.918031708602789,1.1227223564396143,1.0912878007084459,0.6907204805509104,0.7318087318087141,0.8295461707476667,0.8181818181818182,0.3252027910274054,0.2351747018751794,0.9202543157475591,1.0566870022812767,10.08695652173913,6.0
NO_PROGRESS_8_05R_RR2,win,24,1.6900848375942121,1.6818245523975952,4.084659433533203,3.9488104742408736,1.2390721274113647,1.140578030970719,0.6790168100400088,0.6895159765551216,0.7772845806552281,0.7856333988552248,1.6398743170782428,2.052227603225856,0.43051961201586764,0.4371511292567988,31.625,17.0
NO_PROGRESS_8_05R_RR2,loss,27,1.5373316951049008,1.5746734598721297,4.16809905315422,3.9021786961531673,1.1451750246473005,1.0912878007084459,0.6761713326511872,0.7110609480812624,0.8494465059069604,0.839999999999994,0.4646149211972492,0.31197341676547313,1.1698967382033227,1.1642733046737859,14.518518518518519,8.0
NO_PROGRESS_8_05R_RR2_EX_GBPJPY,win,23,1.691327727899429,1.6936889505866428,4.102524735592971,3.959961926865118,1.1958234268497911,1.1222132236281106,0.6797933224420355,0.7131782945736618,0.7762250888331943,0.7803063457330592,1.6353008026400184,2.0614603770949356,0.4185202860613136,0.4355198948219314,27.73913043478261,15.0
NO_PROGRESS_8_05R_RR2_EX_GBPJPY,loss,20,1.6256307007738406,1.6947331540907005,4.2237819747439955,3.910105202377978,1.12447685502593,1.130476435930321,0.6903718871738198,0.7360016823301805,0.8518615330944119,0.8368399168399114,0.4359934465293982,0.24544882736373702,1.095494853741696,1.113582426061937,15.15,8.0
RETURN3_PLUS_NOPROG6_RR2,win,16,1.714882909260117,1.7143440164943773,4.004680399079679,3.9488104742408736,1.3386059109890145,1.1714554434107467,0.6913370393840363,0.7035196888672792,0.8101945447921146,0.8102382109868842,1.8039822088727622,2.0760712742426373,0.362568121682953,0.29525541286408347,36.75,21.0
RETURN3_PLUS_NOPROG6_RR2,loss,35,1.5609104377694727,1.5764271791067643,4.185588984419598,3.9021786961531673,1.1211360613578751,1.0912878007084459,0.6711896226399339,0.7110609480812624,0.817907796529702,0.8282828282828638,0.31415601733590065,0.1540985188954212,0.6550735380431277,0.4800460880374911,7.485714285714286,2.0
RETURN3_PLUS_NOPROG6_RR2_EX_GBPJPY,win,15,1.7184418791725102,1.7313036087610307,4.026741926607754,3.959961926865118,1.2789268223664447,1.1589428383133276,0.693349040356746,0.7458823529411651,0.8107639882741221,0.8188235294117677,1.807910012853786,2.090682171390339,0.33963905586377585,0.25466776079452047,31.133333333333333,20.0
RETURN3_PLUS_NOPROG6_RR2_EX_GBPJPY,loss,28,1.6298758417705723,1.6538013144685662,4.229734982657211,3.910105202377978,1.1003419136631116,1.1067505121682784,0.6800874483675724,0.7224935131911879,0.8117481386049957,0.8232323232323411,0.2560973808935271,0.1465283802104591,0.5918247457688341,0.4456217721140266,6.714285714285714,2.0
RETURN_INSIDE_2_RR2,win,17,1.7035720798389113,1.6973844242277238,4.062745111524481,3.959961926865118,1.3401357642175682,1.1589428383133276,0.693029268267125,0.7131782945736618,0.8022799005976934,0.7909604519773903,2.121656306498064,2.0931902795128376,0.3923292964259297,0.3646748849070457,47.88235294117647,29.0
RETURN_INSIDE_2_RR2,loss,34,1.5620372503774096,1.617682041308415,4.161877468942489,3.9005311333302437,1.1139749626956237,1.1067505121682784,0.6697509371176807,0.7065943038278795,0.8220919789721357,0.8309813309813463,0.3641625601163531,0.2106145476150838,0.8090966696919275,0.9400539210533061,10.205882352941176,2.0
RETURN_INSIDE_2_RR2_EX_GBPJPY,win,16,1.7062016872929544,1.7143440164943773,4.087056838109852,3.968893947527939,1.2842822344606932,1.1146010124437198,0.6950212834842331,0.729828583906522,0.8023190885999241,0.7856333988552248,2.145193253831855,2.1090649179436225,0.3726933706418871,0.3502589749203461,43.3125,28.5
RETURN_INSIDE_2_RR2_EX_GBPJPY,loss,27,1.63384906520283,1.6699601542085476,4.201511074213356,3.9021786961531673,1.090554080247878,1.1222132236281106,0.6786053194035365,0.7318087318087141,0.8167889736093676,0.8282828282828638,0.3119062989223724,0.14785261160681454,0.7462622073426668,0.6040389193909147,9.777777777777779,2.0
RETURN_INSIDE_3_RR2,win,15,1.7218620001460498,1.7313036087610307,4.002735839921881,3.9376590216166294,1.3489151018210712,1.1589428383133276,0.6877006851468945,0.6611570247933934,0.8096192791508044,0.8016528925620008,2.121264184582379,2.0931902795128376,0.3830941576975671,0.33584306493364646,50.46666666666667,31.0
RETURN_INSIDE_3_RR2,loss,36,1.5622794963306297,1.5933118625389442,4.181373978920351,3.910105202377978,1.1228813943342724,1.1067505121682784,0.673264420703857,0.7121196213274621,0.8179332335542038,0.8235531788473158,0.33451294798299946,0.1700764561252047,0.7077855162782849,0.5803554040029442,8.944444444444445,2.5
RETURN_INSIDE_3_RR2_EX_GBPJPY,win,14,1.726173688686895,1.7767879704797669,4.026234293762118,3.9488104742408736,1.2857095919277504,1.1146010124437198,0.6895966608864302,0.6754867413724299,0.8101883067642904,0.807244931871044,2.148135544255591,2.1090649179436225,0.35999344689234974,0.29525541286408347,45.42857142857143,27.5
RETURN_INSIDE_3_RR2_EX_GBPJPY,loss,29,1.6291972453636947,1.6376424747285847,4.222980286236157,3.918031708602789,1.103225573485355,1.1222132236281106,0.6823562381804548,0.7318087318087141,0.8119921175983327,0.8188235294117677,0.2787037639426217,0.1474067336320452,0.6459608425676442,0.476473203213829,8.275862068965518,2.0
