time,open,high,low,close,D1 V Trigger,D1 V Low,D1 V Start,Trade SL,Trade TP,D1 V Context,H4 Confirm Entry,V Context,Initial Shelf Long,Initial Shelf Skip,Watching Shelf High,Watching Shelf Low,Active SL,Active TP
1716339600,169.674,169.762,169.631,169.698,,,,,,0,0,0,0,0,169.944,169.221,,
1716354000,169.698,169.928,169.644,169.758,,,,,,0,0,0,0,0,169.919,169.221,,
1716368400,169.758,169.789,169.45,169.571,,,,,,0,0,0,0,0,169.928,169.221,,
1716382800,169.571,169.723,169.439,169.678,,,,,,0,0,0,0,0,169.928,169.221,,
1716397200,169.678,169.734,169.383,169.732,,,,,,0,0,0,0,0,169.928,169.41,,
1716411600,169.732,169.785,169.582,169.746,,,,,,0,0,0,0,0,169.928,169.383,,
1716426000,169.746,169.883,169.622,169.677,,,,,,0,0,0,0,0,169.928,169.383,,
1716440400,169.677,170.008,169.29,169.906,,,,,,0,0,0,0,0,169.928,169.383,,
1716454800,169.906,170.125,169.8,170.118,,,,,,0,0,0,0,0,170.008,169.29,,
1716469200,170.118,170.324,169.721,169.899,,,,,,0,0,0,0,0,170.125,169.29,,
1716483600,169.899,169.907,169.474,169.75,,,,,,0,0,0,0,0,170.324,169.29,,
1716498000,169.75,169.874,169.629,169.76,,,,,,0,0,0,0,0,170.324,169.29,,
1716512400,169.76,169.878,169.682,169.792,,,,,,0,0,0,0,0,170.324,169.29,,
1716526800,169.792,170.038,169.746,169.977,,,,,,0,0,0,0,0,170.324,169.29,,
1716541200,169.977,170.45,169.962,170.444,,,,,,0,0,0,0,0,170.324,169.474,,
1716555600,170.444,170.498,170.168,170.208,,,,,,0,0,0,0,0,,,,
1716570000,170.208,170.338,170.19,170.27,,,,,,0,0,0,0,0,,,,
1716757200,170.27,170.385,170.045,170.14,,,,,,0,0,0,0,0,,,,
1716771600,170.14,170.18,169.97,170.076,,,,,,0,0,0,0,0,,,,
1716786000,170.076,170.3,170.036,170.28,,,,,,0,0,0,0,0,,,,
1716800400,170.28,170.502,170.03,170.137,,,,,,0,0,0,0,0,,,,
1716814800,170.137,170.434,170.046,170.39,,,,,,0,0,0,0,0,,,,
1716829200,170.39,170.422,170.31,170.377,,,,,,0,0,0,0,0,,,,
1716843600,170.377,170.502,170.209,170.47,,,,,,0,0,0,0,0,,,,
1716858000,170.47,170.508,170.362,170.418,,,,,,0,0,0,0,0,,,,
1716872400,170.418,170.708,170.403,170.519,,,,,,0,0,0,0,0,,,,
1716886800,170.519,170.744,170.367,170.416,,,,,,0,0,0,0,0,,,,
1716901200,170.416,170.72,170.308,170.698,,,,,,0,0,0,0,0,,,,
1716915600,170.698,170.8,170.554,170.656,,,,,,0,0,0,0,0,,,,
1716930000,170.656,170.786,170.619,170.772,,,,,,0,0,0,0,0,,,,
1716944400,170.772,170.799,170.558,170.586,,,,,,0,0,0,0,0,,,,
1716958800,170.586,170.613,170.172,170.252,,,,,,0,0,0,0,0,,,,
1716973200,170.252,170.76,170.252,170.502,,,,,,0,0,0,0,0,,,,
1716987600,170.502,170.625,170.204,170.544,,,,,,0,0,0,0,0,,,,
1717002000,170.544,170.548,170.29,170.296,,,,,,0,0,0,0,0,,,,
1717016400,170.296,170.333,169.838,169.902,,,,,,0,0,0,0,0,,,,
1717030800,169.902,170.095,169.62,169.7,,,,,,0,0,0,0,0,,,,
1717045200,169.7,169.848,169.065,169.738,,,,,,0,0,0,0,0,,,,
1717059600,169.738,169.87,169.48,169.636,,,,,,0,0,0,0,0,,,,
1717074000,169.636,169.954,169.38,169.866,,,,,,0,0,0,0,0,,,,
1717088400,169.866,169.974,169.781,169.864,,,,,,0,0,0,0,0,,,,
1717102800,169.864,170.084,169.619,169.785,,,,,,0,0,0,0,0,,,,
1717117200,169.785,169.964,169.446,169.53,,,,,,0,0,0,0,0,,,,
1717131600,169.53,170.496,169.524,170.421,,,,,,0,0,0,0,0,170.324,169.446,,
1717146000,170.421,170.722,170.421,170.67,,,,,,0,0,0,0,0,170.496,169.446,,
1717160400,170.67,170.746,170.154,170.498,,,,,,0,0,0,0,0,170.722,169.446,,
1717174800,170.498,170.696,170.466,170.639,,,,,,0,0,0,0,0,170.746,169.446,,
1717362000,170.639,170.766,170.512,170.544,,,,,,0,0,0,0,0,170.746,169.446,,
1717376400,170.544,170.894,170.43,170.824,,,,,,0,0,0,0,0,170.766,169.446,,
1717390800,170.824,170.892,170.139,170.254,,,,,,0,0,0,0,0,170.894,169.524,,
1717405200,170.254,170.341,169.812,170.022,,,,,,0,0,0,0,0,170.894,170.139,,
1717419600,170.022,170.203,169.72,169.884,,,,,,0,0,0,0,0,170.894,169.812,,
1717434000,169.884,170.316,169.826,170.194,,,,,,0,0,0,0,0,170.894,169.72,,
1717448400,170.194,170.726,170.13,170.666,,,,,,0,0,0,0,0,170.894,169.72,,
1717462800,170.666,170.715,170.464,170.512,,,,,,0,0,0,0,0,170.894,169.72,,
1717477200,170.512,170.521,168.841,168.984,,,,,,0,0,0,0,0,170.892,169.72,,
1717491600,168.984,169.054,168.105,168.534,,,,,,0,0,0,0,0,170.726,168.841,,
1717506000,168.534,168.698,168.022,168.413,,,,,,0,0,0,0,0,170.726,168.105,,
1717520400,168.413,168.523,168.229,168.515,,,,,,0,0,0,0,0,170.726,168.022,,
1717534800,168.515,169.108,168.406,168.954,,,,,,0,0,0,0,0,170.726,168.022,,
1717549200,168.954,169.334,168.92,169.29,,,,,,0,0,0,0,0,170.715,168.022,,
1717563600,169.29,170.004,169.212,169.932,,,,,,0,0,0,0,0,170.521,168.022,,
1717578000,169.932,169.948,169.534,169.892,,,,,,0,0,0,0,0,170.004,168.022,,
1717592400,169.892,170.018,169.52,169.62,,,,,,0,0,0,0,0,170.004,168.022,,
1717606800,169.62,169.808,169.552,169.684,,,,,,0,0,0,0,0,170.018,168.229,,
1717621200,169.684,169.711,169.319,169.382,,,,,,0,0,0,0,0,170.018,168.406,,
1717635600,169.382,169.79,169.208,169.552,,,,,,0,0,0,0,0,170.018,168.92,,
1717650000,169.552,170.077,169.527,169.863,,,,,,0,0,0,0,0,170.018,169.208,,
1717664400,169.863,170.152,169.628,170.062,,,,,,0,0,0,0,0,170.077,169.208,,
1717678800,170.062,170.293,169.525,169.544,,,,,,0,0,0,0,0,170.152,169.208,,
1717693200,169.544,169.674,169.302,169.458,,,,,,0,0,0,0,0,170.293,169.208,,
1717707600,169.458,169.686,169.43,169.628,,,,,,0,0,0,0,0,170.293,169.208,,
1717722000,169.628,169.829,169.441,169.51,,,,,,0,0,0,0,0,170.293,169.208,,
1717736400,169.51,169.598,168.94,169.172,,,,,,0,0,0,0,0,170.293,169.302,,
1717750800,169.172,169.976,169.133,169.841,,,,,,0,0,0,0,0,170.293,168.94,,
1717765200,169.841,169.871,169.072,169.282,,,,,,0,0,0,0,0,170.293,168.94,,
1717779600,169.282,169.343,169.124,169.34,,,,,,0,0,0,0,0,169.976,168.94,,
1717966800,169.34,169.34,168.728,169.045,,,,,,0,0,0,0,0,169.976,168.94,,
1717981200,169.045,169.221,168.855,168.978,,,,,,0,0,0,0,0,169.976,168.728,,
1717995600,168.978,169.08,168.708,168.834,,,,,,0,0,0,0,0,169.976,168.728,,
1718010000,168.834,168.85,168.302,168.616,,,,,,0,0,0,0,0,,,,
1718024400,168.616,168.871,168.4,168.836,,,,,,0,0,0,0,0,,,,
1718038800,168.836,169.08,168.816,169.054,,,,,,0,0,0,0,0,,,,
1718053200,169.054,169.28,168.938,169.222,,,,,,0,0,0,0,0,,,,
1718067600,169.222,169.412,169.126,169.352,,,,,,0,0,0,0,0,,,,
1718082000,169.352,169.424,168.928,168.94,,,,,,0,0,0,0,0,,,,
1718096400,168.94,169.101,168.296,168.383,,,,,,0,0,0,0,0,,,,
1718110800,168.383,169,168.342,168.988,,,,,,0,0,0,0,0,,,,
1718125200,168.988,168.988,168.672,168.778,,,,,,0,0,0,0,0,,,,
1718139600,168.778,168.813,168.66,168.757,,,,,,0,0,0,0,0,,,,
1718154000,168.757,168.879,168.677,168.828,,,,,,0,0,0,0,0,,,,
1718168400,168.828,169.164,168.796,169.053,,,,,,0,0,0,0,0,,,,
1718182800,169.053,169.396,168.979,169.072,,,,,,0,0,0,0,0,,,,
1718197200,169.072,169.124,168.752,168.952,,,,,,0,0,0,0,0,,,,
1718211600,168.952,169.59,168.89,169.418,,,,,,0,0,0,0,0,,,,
1718226000,169.418,169.656,169.28,169.542,,,,,,0,0,0,0,0,,,,
1718240400,169.542,169.74,169.438,169.671,,,,,,0,0,0,0,0,,,,
1718254800,169.671,170.138,169.668,169.936,,,,,,0,0,0,0,0,,,,
1718269200,169.936,170.028,169.307,169.488,,,,,,0,0,0,0,0,,,,
1718283600,169.488,169.85,168.318,168.382,,,,,,0,0,0,0,0,,,,
1718298000,168.382,168.737,168.282,168.596,,,,,,0,0,0,0,0,,,,
1718312400,168.596,168.844,168.548,168.778,,,,,,0,0,0,0,0,,,,
1718326800,168.778,169.65,168.473,169.579,,,,,,0,0,0,0,0,,,,
1718341200,169.579,169.802,168.328,168.392,,,,,,0,0,0,0,0,,,,
1718355600,168.392,168.406,167.52,168.093,,,,,,0,0,0,0,0,,,,
1718370000,168.093,168.368,167.658,168.336,,,,,,0,0,0,0,0,,,,
1718384400,168.336,168.578,168.224,168.525,,,,,,0,0,0,0,0,,,,
1718571600,168.525,168.742,168.327,168.538,,,,,,0,0,0,0,0,,,,
1718586000,168.538,168.594,168.398,168.468,,,,,,0,0,0,0,0,,,,
1718600400,168.468,168.902,167.958,168.8,,,,,,0,0,0,0,0,,,,
1718614800,168.8,169.18,168.656,169.165,,,,,,0,0,0,0,0,,,,
1718629200,169.169,169.289,169.101,169.226,,,,,,0,0,0,0,0,,,,
1718643600,169.226,169.336,169.16,169.291,,,,,,0,0,0,0,0,,,,
1718658000,169.271,169.392,169.219,169.29,,,,,,0,0,0,0,0,,,,
1718672400,169.291,169.298,168.965,169.098,,,,,,0,0,0,0,0,,,,
1718686800,169.094,169.708,169.027,169.528,,,,,,0,0,0,0,0,,,,
1718701200,169.532,169.592,169.18,169.374,,,,,,0,0,0,0,0,,,,
1718715600,169.371,169.912,169.236,169.371,,,,,,0,0,0,0,0,,,,
1718730000,169.374,169.548,169.352,169.53,,,,,,0,0,0,0,0,,,,
1718744400,169.548,169.58,169.49,169.524,,,,,,0,0,0,0,0,,,,
1718758800,169.524,169.544,169.395,169.47,,,,,,0,0,0,0,0,,,,
1718773200,169.466,169.508,169.13,169.484,,,,,,0,0,0,0,0,,,,
1718787600,169.484,169.838,169.41,169.662,,,,,,0,0,0,0,0,,,,
1718802000,169.666,169.772,169.586,169.734,,,,,,0,0,0,0,0,,,,
1718816400,169.733,169.902,169.678,169.84,,,,,,0,0,0,0,0,,,,
1718830800,169.802,169.876,169.726,169.825,,,,,,0,0,0,0,0,,,,
1718845200,169.824,169.917,169.745,169.89,,,,,,0,0,0,0,0,,,,
1718859600,169.892,169.912,169.617,169.798,,,,,,0,0,0,0,0,,,,
1718874000,169.8,169.998,169.738,169.95,,,,,,0,0,0,0,0,,,,
1718888400,169.95,170.32,169.91,170.097,,,,,,0,0,0,0,0,,,,
1718902800,170.096,170.185,170.03,170.096,,,,,,0,0,0,0,0,,,,
1718917200,170.106,170.374,170.036,170.352,,,,,,0,0,0,0,0,,,,
1718931600,170.352,170.362,170.192,170.302,,,,,,0,0,0,0,0,,,,
1718946000,170.3,170.452,169.328,169.806,,,,,,0,0,0,0,0,,,,
1718960400,169.804,170.018,169.69,169.97,,,,,,0,0,0,0,0,,,,
1718974800,169.97,170.564,169.914,170.522,,,,,,0,0,0,0,0,,,,
1718989200,170.516,170.918,170.484,170.894,,,,,,0,0,0,0,0,,,,
1719176400,170.765,170.95,170.659,170.856,,,,,,0,0,0,0,0,,,,
1719190800,170.854,170.86,170.606,170.852,,,,,,0,0,0,0,0,,,,
1719205200,170.854,171.236,170.84,171.188,,,,,,0,0,0,0,0,,,,
1719219600,171.188,171.296,170.276,171.106,,,,,,0,0,0,0,0,,,,
1719234000,171.106,171.402,171.101,171.354,,,,,,0,0,0,0,0,,,,
1719248400,171.352,171.45,171.238,171.34,,,,,,0,0,0,0,0,,,,
1719262800,171.318,171.398,171.022,171.096,,,,,,0,0,0,0,0,,,,
1719277200,171.098,171.288,170.882,171.222,,,,,,0,0,0,0,0,,,,
1719291600,171.225,171.288,170.936,171.187,,,,,,0,0,0,0,0,,,,
1719306000,171.186,171.238,170.768,170.925,,,,,,0,0,0,0,0,,,,
1719320400,170.93,171.072,170.706,171.004,,,,,,0,0,0,0,0,,,,
1719334800,171.006,171.141,170.948,171.093,,,,,,0,0,0,0,0,,,,
1719349200,171.095,171.112,170.95,171.086,,,,,,0,0,0,0,0,,,,
1719363600,171.084,171.348,171.078,171.104,,,,,,0,0,0,0,0,,,,
1719378000,171.105,171.154,170.852,171.072,,,,,,0,0,0,0,0,,,,
1719392400,171.074,171.489,170.97,171.212,,,,,,0,0,0,0,0,,,,
1719406800,171.21,171.798,170.913,171.594,,,,,,0,0,0,0,0,,,,
1719421200,171.594,171.802,171.587,171.768,,,,,,0,0,0,0,0,,,,
1719435600,171.707,171.716,171.388,171.59,,,,,,0,0,0,0,0,,,,
1719450000,171.59,171.632,171.398,171.472,,,,,,0,0,0,0,0,,,,
1719464400,171.47,171.724,171.422,171.602,,,,,,0,0,0,0,0,,,,
1719478800,171.606,171.957,171.476,171.939,,,,,,0,0,0,0,0,,,,
1719493200,171.942,172.166,171.906,172.066,,,,,,0,0,0,0,0,,,,
1719507600,172.067,172.156,172,172.091,,,,,,0,0,0,0,0,,,,
1719522000,172.12,172.384,172.006,172.364,,,,,,0,0,0,0,0,,,,
1719536400,172.355,172.386,172.002,172.1,,,,,,0,0,0,0,0,,,,
1719550800,172.098,172.31,172.004,172.144,,,,,,0,0,0,0,0,,,,
1719565200,172.144,172.154,171.721,171.825,,,,,,0,0,0,0,0,,,,
1719579600,171.826,172.448,171.454,172.368,,,,,,0,0,0,0,0,,,,
1719594000,172.368,172.436,172.196,172.39,,,,,,0,0,0,0,0,,,,
1719781200,172.708,173.222,172.602,173.003,,,,,,0,0,0,0,0,,,,
1719795600,173.004,173.262,172.888,173.235,,,,,,0,0,0,0,0,,,,
1719810000,173.234,173.476,173.094,173.382,,,,,,0,0,0,0,0,,,,
1719824400,173.383,173.448,173.077,173.428,,,,,,0,0,0,0,0,,,,
1719838800,173.432,173.675,173.246,173.336,,,,,,0,0,0,0,0,,,,
1719853200,173.338,173.466,173.226,173.433,,,,,,0,0,0,0,0,,,,
1719867600,173.417,173.518,173.306,173.394,,,,,,0,0,0,0,0,,,,
