symbol,signal_time,entry_time,entry,stop,target,tv_match,tv_notes,data_source,confirmed_date
EURJPY,2016-10-03 21:00:00,2016-10-04 01:00:00,114.329,113.522,115.538,OK,TV signal_tv=2016-10-04 06:00 棚B一致,tv_oanda,2026-06-05
EURJPY,2018-05-22 05:00:00,2018-05-22 09:00:00,131.064,130.400,132.060,OK,TV signal_tv=2018-05-22 14:00 棚B一致,tv_oanda,2026-06-05
EURJPY,2018-07-03 05:00:00,2018-07-03 09:00:00,129.336,128.300,130.889,OK,TV signal_tv=2018-07-03 14:00 棚B一致,tv_oanda,2026-06-05
EURJPY,2022-08-30 13:00:00,2022-08-30 17:00:00,139.022,138.137,140.350,OK,TV signal_tv=2022-08-30 22:00 棚B一致,tv_oanda,2026-06-05
EURJPY,2023-06-09 01:00:00,2023-06-09 05:00:00,150.070,149.500,150.926,OK,TV signal_tv=2023-06-09 10:00 棚B一致,tv_oanda,2026-06-05
EURJPY,2023-11-02 09:00:00,2023-11-02 13:00:00,159.956,158.942,161.477,OK,TV signal_tv=2023-11-02 18:00 棚B一致,tv_oanda,2026-06-05
EURJPY,2025-04-11 05:00:00,2025-04-11 09:00:00,162.742,160.683,165.833,OK,TV signal_tv=2025-04-11 14:00 棚B一致,tv_oanda,2026-06-05
EURJPY,2026-03-24 21:00:00,2026-03-25 01:00:00,184.403,183.515,185.740,OK,TV signal_tv=2026-03-25 06:00 棚B一致,tv_oanda,2026-06-05
AUDJPY,2015-01-19 22:00:00,2015-01-20 02:00:00,96.915,95.783,98.611,OK,entry_tv=2015-01-20 11:00 テスター96.917,tv_oanda,2026-06-05
AUDJPY,2016-02-01 18:00:00,2016-02-01 22:00:00,86.084,85.131,87.514,OK,entry_tv=2016-02-02 07:00 テスター86.086,tv_oanda,2026-06-05
AUDJPY,2016-09-28 17:00:00,2016-09-28 21:00:00,77.455,76.728,78.544,OK,entry_tv=2016-09-29 06:00 テスター77.457,tv_oanda,2026-06-05
AUDJPY,2016-10-03 17:00:00,2016-10-03 21:00:00,77.994,77.291,79.048,OK,entry_tv=2016-10-04 06:00 テスター77.996,tv_oanda,2026-06-05
AUDJPY,2018-11-01 01:00:00,2018-11-01 05:00:00,80.472,79.754,81.548,OK,entry_tv=2018-11-01 14:00 テスター80.474,tv_oanda,2026-06-05
AUDJPY,2019-07-22 09:00:00,2019-07-22 13:00:00,76.110,75.773,76.616,OK,entry_tv=2019-07-22 22:00 テスター76.112,tv_oanda,2026-06-05
AUDJPY,2020-05-14 17:00:00,2020-05-14 21:00:00,69.297,68.450,70.568,OK,entry_tv=2020-05-15 06:00 テスター69.299,tv_oanda,2026-06-05
AUDJPY,2020-07-19 21:00:00,2020-07-20 01:00:00,75.067,74.697,75.622,OK,entry_tv=2020-07-20 10:00 テスター75.069,tv_oanda,2026-06-05
AUDJPY,2021-04-05 21:00:00,2021-04-06 01:00:00,84.403,84.019,84.978,OK,entry_tv=2021-04-06 10:00 テスター84.405,tv_oanda,2026-06-05
AUDJPY,2021-07-06 01:00:00,2021-07-06 05:00:00,83.790,83.373,84.416,OK,entry_tv=2021-07-06 14:00 テスター83.792,tv_oanda,2026-06-05
AUDJPY,2023-07-25 01:00:00,2023-07-25 05:00:00,95.594,94.782,96.812,OK,entry_tv=2023-07-25 14:00 テスター95.596,tv_oanda,2026-06-05
