symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason,year,month,yearmonth
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-12-02 13:00:00,2016-12-02 14:00:00,84.702,84.29116071428571,2016-12-04 22:00:00,84.29116071428571,initial_stop,0.4108392857142888,-1.0,0.2677445994697232,-2.2636588864258353,2.3333333333333335,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,12,2016-12
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-12-06 06:00:00,2016-12-06 07:00:00,113.239,112.69278571428572,2016-12-06 17:00:00,112.69278571428572,initial_stop,0.5462142857142851,-1.0,0.3020792467634224,-1.0270694389956987,0.4166666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,12,2016-12
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-12-07 05:00:00,2016-12-07 06:00:00,113.2,112.742,2016-12-07 15:00:00,112.742,initial_stop,0.4579999999999984,-1.0,0.2052401746724768,-1.181222707423578,0.375,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,12,2016-12
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-12-13 05:00:00,2016-12-13 06:00:00,113.762,113.14155357142856,2016-12-16 17:00:00,114.666,one_swing_break,0.6204464285714408,1.4570153978989435,2.5965174845301036,-0.1917973809181135,3.4583333333333335,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,12,2016-12
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-01-11 06:00:00,2017-01-11 07:00:00,1190.232,1184.960017857143,2017-01-11 14:00:00,1184.960017857143,initial_stop,5.271982142857041,-1.0,0.2061843099132562,-2.0208717919189088,0.2916666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,1,2017-01
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-01-17 05:00:00,2017-01-17 06:00:00,16.96,16.750803571428573,2017-01-18 05:00:00,17.09,one_swing_break,0.2091964285714276,0.6214255228339716,1.1807084933845546,-0.3059325650874963,0.9583333333333334,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,1,2017-01
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-01-31 11:00:00,2017-01-31 12:00:00,17.314,17.095214285714288,2017-02-02 15:00:00,17.547,one_swing_break,0.2187857142857119,1.0649689846555803,1.8876918054195448,-0.0182827293503164,2.125,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,1,2017-01
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-02-14 11:00:00,2017-02-14 12:00:00,17.922,17.793232142857143,2017-02-14 15:00:00,17.793232142857143,initial_stop,0.1287678571428578,-1.0,1.1105255859104135,-1.4677575925669035,0.125,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,2,2017-02
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-02-16 01:00:00,2017-02-16 02:00:00,1236.158,1229.001857142857,2017-02-21 10:00:00,1229.001857142857,initial_stop,7.156142857142868,-1.0,1.0607669734294367,-1.1416764817439329,5.333333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,2,2017-02
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-03-01 11:00:00,2017-03-01 12:00:00,87.128,86.67289285714286,2017-03-02 14:00:00,86.67289285714286,initial_stop,0.4551071428571447,-1.0,0.771246959114803,-1.0459075570901608,1.0833333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,3,2017-03
