trades,win_rate,total_r,pf,max_dd_r,decline_bars,drop_atr_cap,spike_atr,use_down_d1,rr
38,31.57894736842105,-8.513970541732155,0.6765288389646328,14.30465690577017,18,3.5,1.5,True,1.5
38,28.947368421052634,-5.513970541732167,0.7982430730743533,14.304656905770178,18,3.5,1.5,True,2.0
100,39.0,-4.578820795415784,0.9264196127150002,10.674748356987736,18,3.5,1.5,False,1.5
98,34.69387755102041,1.962624767765609,1.030072092496882,10.080340477921645,18,3.5,1.5,False,2.0
25,36.0,-2.7854056531046223,0.8279278623683575,6.674259388823312,18,3.5,1.8,True,1.5
25,32.0,-1.2854056531046285,0.9252521313132328,7.174259388823315,18,3.5,1.8,True,2.0
58,41.37931034482759,0.8736337557609806,1.0252450666943795,8.171355780311035,18,3.5,1.8,False,1.5
57,38.59649122807017,7.906870379893576,1.2220182719571144,8.16971711333986,18,3.5,1.8,False,2.0
9,55.55555555555556,3.4173389557943556,1.8467560779535985,2.024237756537853,18,3.5,2.2,True,1.5
9,55.55555555555556,5.917338955794358,2.466211807182521,2.024237756537853,18,3.5,2.2,True,2.0
28,46.42857142857143,3.9062820048485545,1.2553109369186444,5.106651582369185,18,3.5,2.2,False,1.5
28,46.42857142857143,10.406282004848544,1.6801448551844924,5.106651582369185,18,3.5,2.2,False,2.0
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,18,3.5,2.5,True,1.5
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,18,3.5,2.5,True,2.0
14,28.57142857142857,-4.309786322712915,0.5780236585383843,8.725239873697346,18,3.5,2.5,False,1.5
14,28.57142857142857,-2.3097863227129216,0.7738460542974341,8.225239873697346,18,3.5,2.5,False,2.0
5,20.0,-2.550779413475525,0.36894279074228065,3.0186689939989897,18,3.5,3.0,False,1.5
5,20.0,-2.050779413475525,0.4926416895815735,3.0186689939989897,18,3.5,3.0,False,2.0
34,32.35294117647059,-6.960617729070421,0.7010607633587081,11.731554937465475,18,4.0,1.5,True,1.5
34,29.411764705882355,-4.460617729070432,0.8163864648376472,12.231554937465479,18,4.0,1.5,True,2.0
85,40.0,-1.6971925682918994,0.9673701860678495,9.91359848133899,18,4.0,1.5,False,1.5
84,35.714285714285715,4.311016370756898,1.0783104102651333,7.267795185653235,18,4.0,1.5,False,2.0
22,36.36363636363637,-2.2373640881090116,0.841954807107603,5.074732153600274,18,4.0,1.8,True,1.5
22,31.818181818181817,-1.2373640881090173,0.9184098473549972,5.143312572493708,18,4.0,1.8,True,2.0
48,41.66666666666667,1.1691593108156004,1.0410769100308543,7.139621559015885,18,4.0,1.8,False,1.5
48,39.58333333333333,8.169159310815587,1.2771855158831569,7.139621559015885,18,4.0,1.8,False,2.0
8,50.0,1.9344337044603612,1.4793184164165991,2.024237756537853,18,4.0,2.2,True,1.5
8,50.0,3.934433704460364,1.9748829997997377,2.024237756537853,18,4.0,2.2,True,2.0
22,50.0,5.1006340445084914,1.4564196299055021,4.074917361074036,18,4.0,2.2,False,1.5
22,50.0,10.600634044508492,1.9485756917941102,4.074917361074036,18,4.0,2.2,False,2.0
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,18,4.0,2.5,True,1.5
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,18,4.0,2.5,True,2.0
11,36.36363636363637,-1.216740906444303,0.829116406697165,5.632194457428735,18,4.0,2.5,False,1.5
11,36.36363636363637,0.7832590935556896,1.11000380416654,5.132194457428735,18,4.0,2.5,False,2.0
4,25.0,-1.5444848113616065,0.49123930567762336,2.0123743918850714,18,4.0,3.0,False,1.5
4,25.0,-1.0444848113616065,0.6559417004761378,2.0123743918850714,18,4.0,3.0,False,2.0
38,31.57894736842105,-8.511723984987485,0.6765865879291384,15.33435073567705,24,2.5,1.5,True,1.5
38,28.947368421052634,-5.511723984987494,0.7983086954978483,15.334350735677058,24,2.5,1.5,True,2.0
91,42.857142857142854,4.769082538086097,1.0901263907996839,8.982452548882584,24,2.5,1.5,False,1.5
89,37.07865168539326,8.292986933227267,1.1455158769212868,11.627041216117535,24,2.5,1.5,False,2.0
23,39.130434782608695,-0.7475327223767001,0.9471691779570552,6.052357975090311,24,2.5,1.8,True,1.5
23,34.78260869565217,0.7524672776232928,1.0496393680521086,6.168326844746943,24,2.5,1.8,True,2.0
54,50.0,12.54784239741043,1.4576479947337273,6.1063849348832715,24,2.5,1.8,False,1.5
53,45.28301886792453,18.06353785350282,1.6130468381182197,8.177574216713424,24,2.5,1.8,False,2.0
9,55.55555555555556,3.4173389557943556,1.8467560779535985,2.024237756537853,24,2.5,2.2,True,1.5
9,55.55555555555556,5.917338955794358,2.466211807182521,2.024237756537853,24,2.5,2.2,True,2.0
25,56.00000000000001,9.520509426817899,1.8517279844259893,4.074917361074036,24,2.5,2.2,False,1.5
25,56.00000000000001,16.520509426817892,2.4779650505001594,4.074917361074036,24,2.5,2.2,False,2.0
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,24,2.5,2.5,True,1.5
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,24,2.5,2.5,True,2.0
12,41.66666666666667,0.2710687643447305,1.0380474747403496,4.1443847866397014,24,2.5,2.5,False,1.5
12,41.66666666666667,2.7710687643447267,1.3889499001113061,3.144384786639698,24,2.5,2.5,False,2.0
3,33.33333333333333,-0.5369588708700017,0.7352603596054621,1.0048484513934666,24,2.5,3.0,False,1.5
3,33.33333333333333,-0.036958870870001714,0.9817779746004397,1.0048484513934666,24,2.5,3.0,False,2.0
38,31.57894736842105,-8.511723984987485,0.6765865879291384,15.33435073567705,24,3.0,1.5,True,1.5
38,28.947368421052634,-5.511723984987494,0.7983086954978483,15.334350735677058,24,3.0,1.5,True,2.0
91,42.857142857142854,4.769082538086097,1.0901263907996839,8.982452548882584,24,3.0,1.5,False,1.5
89,37.07865168539326,8.292986933227267,1.1455158769212868,11.627041216117535,24,3.0,1.5,False,2.0
23,39.130434782608695,-0.7475327223767001,0.9471691779570552,6.052357975090311,24,3.0,1.8,True,1.5
23,34.78260869565217,0.7524672776232928,1.0496393680521086,6.168326844746943,24,3.0,1.8,True,2.0
54,50.0,12.54784239741043,1.4576479947337273,6.1063849348832715,24,3.0,1.8,False,1.5
53,45.28301886792453,18.06353785350282,1.6130468381182197,8.177574216713424,24,3.0,1.8,False,2.0
9,55.55555555555556,3.4173389557943556,1.8467560779535985,2.024237756537853,24,3.0,2.2,True,1.5
9,55.55555555555556,5.917338955794358,2.466211807182521,2.024237756537853,24,3.0,2.2,True,2.0
25,56.00000000000001,9.520509426817899,1.8517279844259893,4.074917361074036,24,3.0,2.2,False,1.5
25,56.00000000000001,16.520509426817892,2.4779650505001594,4.074917361074036,24,3.0,2.2,False,2.0
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,24,3.0,2.5,True,1.5
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,24,3.0,2.5,True,2.0
12,41.66666666666667,0.2710687643447305,1.0380474747403496,4.1443847866397014,24,3.0,2.5,False,1.5
12,41.66666666666667,2.7710687643447267,1.3889499001113061,3.144384786639698,24,3.0,2.5,False,2.0
3,33.33333333333333,-0.5369588708700017,0.7352603596054621,1.0048484513934666,24,3.0,3.0,False,1.5
3,33.33333333333333,-0.036958870870001714,0.9817779746004397,1.0048484513934666,24,3.0,3.0,False,2.0
37,32.432432432432435,-7.5032032760429175,0.7035464774147192,14.325830026732485,24,3.5,1.5,True,1.5
37,29.72972972972973,-4.50320327604293,0.8288991718738004,14.325830026732492,24,3.5,1.5,True,2.0
87,41.37931034482759,1.3187186615610802,1.025405423681006,10.50632407124057,24,3.5,1.5,False,1.5
86,36.04651162790697,5.326927600609855,1.095154744086767,11.031994817354,24,3.5,1.5,False,2.0
23,39.130434782608695,-0.7475327223767001,0.9471691779570552,6.052357975090311,24,3.5,1.8,True,1.5
23,34.78260869565217,0.7524672776232928,1.0496393680521086,6.168326844746943,24,3.5,1.8,True,2.0
49,46.93877551020408,7.626684597854636,1.2889154113186037,6.106384934883272,24,3.5,1.8,False,1.5
49,42.857142857142854,13.126684597854618,1.4614806330943109,8.177574216713424,24,3.5,1.8,False,2.0
9,55.55555555555556,3.4173389557943556,1.8467560779535985,2.024237756537853,24,3.5,2.2,True,1.5
9,55.55555555555556,5.917338955794358,2.466211807182521,2.024237756537853,24,3.5,2.2,True,2.0
