base_strategy,filter,family,description,pass_rate,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_ls,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_ls,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_ls,base_all_avg_r,base_test_avg_r,base_all_total_r,base_test_total_r,base_all_max_dd_r,base_test_max_dd_r,all_avg_r_delta,test_avg_r_delta,all_dd_delta,test_dd_delta,robust_score
T4_REBREAK_ONLY,BB_width_2_6ATR,Bollinger,BB幅が2〜6ATR,81.42292490118577,206,46.601941747572816,49.42946795599589,0.23994887357279557,1.4775160053153042,8.71356968345775,10,132,44.696969696969695,20.849305394624686,0.15794928329261126,1.311939377658427,8.71356968345775,10,74,50.0,28.580162561371207,0.3862184129915028,1.7792594062531202,8.085908405933228,8,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.05947980532963537,0.0489027346003737,-2.627314849686833,-2.277094862060707,27.96086798693997
T4_REBREAK_ONLY,Ichimoku_tenkan_gt_kijun,Ichimoku,転換線 > 基準線,90.51383399209486,229,44.54148471615721,38.181277657847964,0.16673047012160683,1.3319139048734203,13.526930902082592,9,143,40.55944055944056,8.491762554726652,0.059382954928158406,1.1134906443526387,13.526930902082592,9,86,51.162790697674424,29.689515103121312,0.3452269198037362,1.7383574330184564,8.34279216493788,8,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,-0.01373859812155337,0.007911241412607128,2.1860463689380083,-2.020211103056056,26.827983050048257
T4_REBREAK_ONLY,Ichimoku_above_cloud,Ichimoku,終値 > 雲上限,93.67588932806325,237,45.14767932489451,41.386960680576365,0.17462852607838128,1.350455412356002,12.176038149613895,11,150,41.333333333333336,11.591839344464855,0.07727892896309903,1.1488456722524314,12.176038149613895,11,87,51.724137931034484,29.79512133611151,0.34247265903576446,1.7408670843402445,9.350846238606461,9,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,-0.005840542164778917,0.005156980644635378,0.8351536164693112,-1.012157029387474,26.039835689388433
T4_REBREAK_ONLY,BB_pos_50_100,Bollinger,BB位置が0.50〜1.00,58.498023715415016,148,47.2972972972973,44.631452664162794,0.30156386935245133,1.657519744246508,6.246045136859189,7,93,43.01075268817204,21.670245858381215,0.23301339632667972,1.4836000692561249,6.246045136859189,7,55,54.54545454545454,22.961206805781586,0.41747648737784704,1.9953603250406275,5.301670826910501,5,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.12109480110929113,0.08016080898671796,-5.094839396285394,-5.061332441083435,25.74299413493461
T4_REBREAK_ONLY,BB_width_ge_3ATR,Bollinger,BB幅 >= 3ATR,87.74703557312253,222,45.4954954954955,40.38220458541522,0.1819018224568253,1.3703930315092334,12.575830354039844,10,140,41.42857142857143,11.475438298902787,0.0819674164207342,1.1597665644276536,12.575830354039844,10,82,52.4390243902439,28.906766286512422,0.35252154007941977,1.7770845047616286,9.328537675171969,9,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.001432754213665094,0.01520586168829069,1.2349458208952608,-1.0344655928219666,25.67065611454798
T4_REBREAK_ONLY,CHOP_35_60,Choppiness,Choppinessが35〜60,86.16600790513834,218,43.57798165137615,38.37293475168359,0.17602263647561278,1.3329176285690045,10.363003267993932,10,137,39.416058394160586,9.312599875441403,0.06797518157256499,1.1230572710121476,8.714095682265107,10,81,50.617283950617285,29.060334876242187,0.3587695663733603,1.7341139341016443,10.363003267993935,10,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,-0.004446431767547415,0.021453887982231246,-0.9778812651506517,0.0,25.360776824358297
T4_REBREAK_ONLY,EMA_close_gt_200,EMA,終値 > EMA200,72.33201581027669,183,44.80874316939891,33.21238086126124,0.181488420006892,1.3611369216986287,12.494275511737246,9,111,39.63963963963964,6.203365658478325,0.05588617710340833,1.1062312453835699,12.494275511737246,8,72,52.77777777777778,27.009015202782923,0.3751252111497628,1.804528179922468,9.350846238606461,9,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.0010193517637318017,0.037809532758633746,1.1533909785926628,-1.012157029387474,24.886357161759765
T4_REBREAK_ONLY,ATR_pctile_lt_85,ATR,ATR上位15%を除外,81.02766798418972,205,43.41463414634146,30.30444656644476,0.1478265686168037,1.2799525665960045,12.000935457258102,10,127,40.15748031496063,4.2574193510821985,0.033522987016395264,1.06088500802788,12.000935457258102,10,78,48.717948717948715,26.04702721536256,0.33393624635080205,1.679672184099224,8.087866966959442,8,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,-0.032642499626356486,-0.003379432040327035,0.6600509241135182,-2.275136301034493,22.812155388126627
T4_REBREAK_ONLY,Combo_EMA_RSI_ATR,Combo,EMA20>50 + RSI50〜75 + ATR過大除外,53.359683794466406,135,45.925925925925924,29.63791613185594,0.21954011949522917,1.4291108080454067,8.191665434845055,8,78,42.30769230769231,7.68398669886279,0.09851264998542038,1.1853718001898192,8.191665434845055,8,57,50.877192982456144,21.95392943299315,0.38515665671917804,1.7949582656587995,7.075709937571974,7,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.03907105125206897,0.047840978328048955,-3.149219098299529,-3.287293330421962,21.88919589621662
T4_REBREAK_ONLY,ADX_12_28,ADX,ADX14が12〜28,75.49407114624506,191,46.07329842931937,40.84068888928086,0.2138255962789574,1.4263009679316765,11.776584023340666,9,120,43.333333333333336,17.020749673574155,0.14183958061311797,1.2746954281674558,11.776584023340666,9,71,50.70422535211267,23.81993921570671,0.33549210162967197,1.7038943988564392,7.274470149391123,6,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.033356528035797195,-0.001823576761457113,0.43569949019608245,-3.088533118602813,21.27290776559051
