symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason
XAGUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-04 10:00:00,2015-02-04 11:00:00,17.445,17.138892857142856,2015-02-05 11:00:00,17.138892857142856,initial_stop,0.3061071428571438,-1.0,0.640298681600738,-1.728153074320377,1.0,0.68,WideStagnation with short-mid alignment and momentum
XAUUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-04 10:00:00,2015-02-04 11:00:00,1268.735,1259.6418571428571,2015-02-04 15:00:00,1259.6418571428571,initial_stop,9.093142857142766,-1.0,0.3974423427386489,-1.0289071828065202,0.16666666666666666,0.68,WideStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-04 14:00:00,2015-02-04 15:00:00,91.08,92.25082142857143,2015-02-06 00:00:00,92.25082142857143,initial_stop,1.1708214285714291,-1.0,0.31089284080163854,-1.0044230241283605,1.375,0.68,WideStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-04 20:00:00,2015-02-04 21:00:00,133.54,134.76607142857142,2015-02-05 18:00:00,134.76607142857142,initial_stop,1.22607142857143,-1.0,0.8319254296533486,-1.2805126711331358,0.875,0.68,WideStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-06 06:00:00,2015-02-06 07:00:00,134.38,135.06035714285716,2015-02-06 13:00:00,135.06035714285716,initial_stop,0.6803571428571615,-1.0,0.5144356955380353,-1.0729658792650891,0.25,0.68,WideStagnation with short-mid alignment and momentum
GBPJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-06 06:00:00,2015-02-06 07:00:00,179.68,180.33375,2015-02-06 13:00:00,180.33375,initial_stop,0.6537500000000023,-1.0,0.19885277246653155,-2.5697896749522005,0.25,0.68,WideStagnation with short-mid alignment and momentum
XAUUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-09 06:00:00,2015-02-09 07:00:00,1239.599,1229.961,2015-02-11 14:00:00,1229.961,initial_stop,9.63799999999992,-1.0,0.6442207926955916,-1.686656982776509,2.2916666666666665,0.68,WideStagnation with short-mid alignment and momentum
XAGUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-09 08:00:00,2015-02-09 09:00:00,16.872,16.60894642857143,2015-02-09 21:00:00,16.969,one_swing_break,0.26305357142857133,0.3687461815219656,1.0644219672798907,-0.06462561944199105,0.5,0.68,WideStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-10 09:00:00,2015-02-10 10:00:00,92.283,92.95066071428572,2015-02-10 17:00:00,92.95066071428572,initial_stop,0.6676607142857165,-1.0,0.06290620235898477,-1.0229746716948693,0.2916666666666667,0.68,WideStagnation with short-mid alignment and momentum
GBPJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-11 01:00:00,2015-02-11 02:00:00,182.28,181.4439285714286,2015-02-12 01:00:00,182.81,one_swing_break,0.8360714285714153,0.6339171294318782,1.9615548910722063,-0.27509611277231166,0.9583333333333334,0.68,WideStagnation with short-mid alignment and momentum
XAGUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-11 07:00:00,2015-02-11 08:00:00,17.05,16.877160714285715,2015-02-11 11:00:00,16.877160714285715,initial_stop,0.17283928571428575,-1.0,0.19671453662567817,-1.0067155697902643,0.125,0.68,WideStagnation with short-mid alignment and momentum
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-02-11 08:00:00,2015-02-11 09:00:00,129.277,128.77739285714284,2015-02-12 08:00:00,128.77739285714284,initial_stop,0.499607142857144,-1.0,1.5632282507684692,-2.3578525984702154,0.9583333333333334,0.78,SuddenReversalStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-11 11:00:00,2015-02-11 12:00:00,92.628,93.14708928571429,2015-02-17 01:00:00,92.211,one_swing_break,0.519089285714287,0.8033300079122099,2.618046716433297,-0.8341532216450627,5.541666666666667,0.68,WideStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-12 08:00:00,2015-02-12 09:00:00,135.36,136.42660714285714,2015-02-17 03:00:00,134.73,one_swing_break,1.0666071428571229,0.5906579608237401,1.3313242926502993,-0.6094090071990526,4.75,0.68,WideStagnation with short-mid alignment and momentum
XAUUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-16 14:00:00,2015-02-16 15:00:00,1230.811,1237.0554285714286,2015-02-19 00:00:00,1214.601,one_swing_break,6.244428571428671,2.595914071972658,5.329550913957496,-0.5430440850129294,2.375,0.68,WideStagnation with short-mid alignment and momentum
XAGUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-17 02:00:00,2015-02-17 03:00:00,17.193,17.3705,2015-02-18 05:00:00,16.519,one_swing_break,0.17749999999999844,3.7971830985915997,5.109859154929623,-0.48450704225351704,1.0833333333333333,0.68,WideStagnation with short-mid alignment and momentum
GBPJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-18 09:00:00,2015-02-18 10:00:00,183.89,182.52428571428572,2015-02-20 08:00:00,182.52428571428572,initial_stop,1.3657142857142617,-1.0,0.2050209205020965,-1.0983263598326554,1.9166666666666667,0.68,WideStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-18 13:00:00,2015-02-18 14:00:00,92.917,93.34135714285715,2015-02-19 16:00:00,92.805,one_swing_break,0.4243571428571471,0.2639286315434962,1.755596700892099,-0.3629018683723157,1.0833333333333333,0.68,WideStagnation with short-mid alignment and momentum
CHFJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-18 15:00:00,2015-02-18 16:00:00,126.31,127.16442857142857,2015-02-20 15:00:00,125.756,one_swing_break,0.8544285714285706,0.6483865574318706,2.2564788496906862,-0.21300785821769208,1.9583333333333333,0.68,WideStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-18 15:00:00,2015-02-18 16:00:00,135.34,136.11303571428573,2015-02-24 06:00:00,135.13,one_swing_break,0.7730357142857258,0.2716562716562779,2.3414183414183096,-0.7502887502887186,5.583333333333333,0.68,WideStagnation with short-mid alignment and momentum
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋安値停滞,V字/急な揺り戻し＋停滞,short,売り,2015-02-19 14:00:00,2015-02-19 15:00:00,16.466,16.80919642857143,2015-02-26 08:00:00,16.80919642857143,initial_stop,0.34319642857142796,-1.0,1.1509443779593118,-1.145116811488635,6.708333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum
XAUUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-20 09:00:00,2015-02-20 10:00:00,1204.448,1210.0966607142857,2015-02-20 12:00:00,1210.0966607142857,initial_stop,5.648660714285597,-1.0,0.36274085197190825,-1.8588477041018325,0.08333333333333333,0.68,WideStagnation with short-mid alignment and momentum
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋安値停滞,V字/急な揺り戻し＋停滞,short,売り,2015-02-23 07:00:00,2015-02-23 08:00:00,125.781,126.68135714285715,2015-02-24 02:00:00,125.244,one_swing_break,0.9003571428571462,0.596429988099965,1.1006743355811142,-0.4009520031733313,0.75,0.78,SuddenReversalStagnation with short-mid alignment and momentum
XAUUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-23 08:00:00,2015-02-23 09:00:00,1193.079,1205.4187857142858,2015-02-23 14:00:00,1205.4187857142858,initial_stop,12.339785714285881,-1.0,0.1521096106091156,-1.1799232447889028,0.20833333333333334,0.76,WideStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-24 02:00:00,2015-02-24 03:00:00,92.558,92.97471428571428,2015-02-24 14:00:00,92.97471428571428,initial_stop,0.4167142857142778,-1.0,0.3215632499143024,-1.0582790538224123,0.4583333333333333,0.68,WideStagnation with short-mid alignment and momentum
GBPJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-02-24 06:00:00,2015-02-24 07:00:00,184.16,183.44125,2015-02-26 09:00:00,184.39,one_swing_break,0.71875,0.31999999999998574,1.1547826086956696,-0.9182608695652127,2.0833333333333335,0.78,SuddenReversalStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-24 11:00:00,2015-02-24 12:00:00,135.33,134.82232142857146,2015-02-24 16:00:00,134.82232142857146,initial_stop,0.5076785714285563,-1.0,0.4333450580372952,-1.3394301793880237,0.16666666666666666,0.68,WideStagnation with short-mid alignment and momentum
CHFJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-25 01:00:00,2015-02-25 02:00:00,124.838,125.41317857142857,2015-02-25 07:00:00,125.41317857142857,initial_stop,0.5751785714285802,-1.0,0.07302080099345723,-1.0987891959018858,0.20833333333333334,0.68,WideStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-25 07:00:00,2015-02-25 08:00:00,135.12,134.51089285714286,2015-02-26 12:00:00,134.51089285714286,initial_stop,0.6091071428571411,-1.0,0.3776018762825994,-1.0343007915567237,1.1666666666666667,0.68,WideStagnation with short-mid alignment and momentum
