method,symbol,trades,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
値幅広めの高値停滞,EURJPY,247,0.41295546558704455,5.5361893974114444,0.022413722256726495,-1.0,1.0384457597042462,-30.89856210699859,1.552462887989204
高値停滞,EURJPY,15,0.4,5.382216823977941,0.3588144549318627,-1.0,1.5980240915531043,-4.0,0.9833333333333331
高値停滞,AUDJPY,6,0.5,4.964873036136352,0.8274788393560586,0.1008416963418457,2.654957678712117,-2.0,1.875
高値停滞,XAUUSD,14,0.5714285714285714,4.799392145463724,0.34281372467598026,0.47236339678862177,1.7998986909106207,-2.0,1.1726190476190474
安値停滞,XAGUSD,14,0.42857142857142855,4.796208459818051,0.34258631855843225,-1.0,1.5995260574772565,-3.1164556962025127,1.6041666666666667
逆V字＋安値停滞,XAGUSD,16,0.5625,4.3908781723387955,0.2744298857711747,0.40270476458429566,1.6272683103341135,-3.0,1.5520833333333335
値幅広めの安値停滞,EURJPY,195,0.4461538461538462,4.125527215833515,0.021156549824787253,-1.0,1.0381993260725326,-17.37590333606847,1.6566239316239315
値幅広めの高値停滞,XAUUSD,220,0.39545454545454545,4.030596677507866,0.018320893988672118,-1.0,1.030305238176751,-19.154556410966634,1.75
逆V字＋安値停滞,CHFJPY,15,0.6,3.8374751240421743,0.25583167493614495,0.5998909522435013,1.6395791873403622,-3.0,2.369444444444445
V字＋高値停滞,CHFJPY,21,0.5714285714285714,3.381714790264428,0.16103403763163943,0.39767252706000367,1.3757460878071586,-3.0,2.3531746031746033
V字＋高値停滞,EURJPY,17,0.6470588235294118,2.3548382148990625,0.1385198949940625,0.3422459893048047,1.3924730358165105,-2.8279191742720666,1.6102941176470587
値幅広めの安値停滞,AUDJPY,227,0.41409691629955947,1.5706716002648768,0.006919258150946594,-1.0,1.0118095609042475,-23.447733566512053,2.012298091042584
逆V字＋安値停滞,AUDJPY,9,0.5555555555555556,1.5093440208180526,0.16770489120200585,0.649140964603599,1.3773360052045132,-2.0,2.3240740740740744
V字＋高値停滞,AUDJPY,25,0.44,1.196589225183641,0.04786356900734564,-1.0,1.0854706589416887,-4.619009478040309,2.0483333333333333
レンジ抜け2回目以降のブレイクアウト,GBPJPY,4,0.75,0.3474221151116387,0.08685552877790967,0.2981013014582785,1.3474221151116388,-1.0,1.6354166666666665
抵抗線付近の高値停滞,CHFJPY,3,0.3333333333333333,0.10811365268232231,0.036037884227440774,-1.0,1.0540568263411612,-2.0,0.6111111111111112
抵抗線付近の高値停滞,EURJPY,4,0.25,-0.23574468085135347,-0.05893617021283837,-1.0,0.9214184397162155,-2.0,0.6666666666666667
急な揺り戻し＋安値停滞,XAUUSD,64,0.375,-0.3614223968560797,-0.005647224950876245,-1.0,0.9909644400785979,-6.523067336526922,1.7649739583333333
急な揺り戻し＋高値停滞,GBPJPY,63,0.42857142857142855,-0.3931434681402899,-0.006240372510163332,-1.0,0.9890793481072144,-14.061103231251309,1.2162698412698414
レンジ抜け2回目以降のブレイクアウト,CHFJPY,4,0.5,-0.4586817870077835,-0.11467044675194588,-0.2908899944720843,0.7706591064961082,-2.0,6.0
レンジ抜け2回目以降のブレイクアウト,AUDJPY,2,0.5,-0.46410301640501117,-0.23205150820250559,-0.23205150820250559,0.5358969835949888,-1.0,0.5208333333333334
V字＋高値停滞,GBPJPY,44,0.38636363636363635,-0.9181152827510943,-0.020866256426161234,-1.0,0.965995730268478,-7.129349894018504,1.7670454545454548
安値停滞,AUDJPY,1,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.08333333333333333
レンジ抜け2回目以降のブレイクアウト,XAUUSD,1,0.0,-1.0,-1.0,-1.0,0.0,0.0,4.291666666666667
支持線付近の安値停滞,XAUUSD,1,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.6666666666666666
抵抗線付近の高値停滞,GBPJPY,1,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.3333333333333333
急な揺り戻し＋高値停滞,CHFJPY,70,0.38571428571428573,-1.648314737970333,-0.023547353399576185,-1.0,0.9616670991169689,-7.497260967148775,1.6351190476190476
逆V字＋安値停滞,EURJPY,13,0.38461538461538464,-1.6893420355059492,-0.1299493873466115,-1.0,0.7888322455617564,-6.0,3.3205128205128207
急な揺り戻し＋安値停滞,AUDJPY,50,0.42,-1.7962664985772394,-0.03592532997154479,-1.0,0.9380597759111298,-6.449276865504305,1.725833333333333
安値停滞,EURJPY,7,0.2857142857142857,-1.8154787243886856,-0.25935410348409793,-1.0,0.6369042551222629,-2.0,0.7976190476190477
抵抗線付近の高値停滞,XAGUSD,2,0.0,-2.0,-1.0,-1.0,0.0,-1.0,0.7291666666666666
高値停滞,XAGUSD,15,0.26666666666666666,-2.1759320624920004,-0.1450621374994667,-1.0,0.8021879943189091,-5.297637142462307,0.7833333333333332
高値停滞,CHFJPY,7,0.14285714285714285,-2.850664469677901,-0.4072377813825573,-1.0,0.5248892550536831,-5.0,0.494047619047619
レンジ抜け2回目以降のブレイクアウト,EURJPY,3,0.0,-3.0,-1.0,-1.0,0.0,-2.0,8.555555555555555
逆V字＋安値停滞,GBPJPY,16,0.375,-3.0011181493327,-0.18756988433329375,-1.0,0.6998881850667301,-4.55351063873303,1.3046875
安値停滞,CHFJPY,6,0.3333333333333333,-3.3132158860526952,-0.5522026476754492,-1.0,0.1716960284868262,-4.0,1.1041666666666667
値幅広めの高値停滞,GBPJPY,236,0.4322033898305085,-6.286188776437866,-0.02663639312049943,-1.0,0.953088143459419,-24.83626685010119,1.6442443502824857
安値停滞,XAUUSD,8,0.125,-6.678913267559974,-0.8348641584449967,-1.0,0.045869533205718106,-7.000000000000001,0.6822916666666666
逆V字＋安値停滞,XAUUSD,12,0.25,-6.816312763809883,-0.5680260636508235,-1.0,0.24263191513223528,-5.816312763809883,0.923611111111111
急な揺り戻し＋安値停滞,CHFJPY,54,0.3888888888888889,-9.798651557380222,-0.18145651032185595,-1.0,0.703071164927872,-17.403640534149293,1.6882716049382713
値幅広めの安値停滞,XAUUSD,187,0.39037433155080214,-14.039908607256283,-0.07507972517249349,-1.0,0.8768429069538923,-26.68725508733423,1.8636363636363635
値幅広めの安値停滞,GBPJPY,204,0.4166666666666667,-15.632666894531706,-0.07663072007123385,-1.0,0.8686330513064563,-31.525213000832586,1.7430555555555558
値幅広めの安値停滞,XAGUSD,193,0.3626943005181347,-24.362228411106834,-0.12622916275184887,-1.0,0.8019331023487247,-30.89151343016031,1.7763385146804835
値幅広めの安値停滞,CHFJPY,205,0.40487804878048783,-33.24540490095378,-0.16217270683392088,-1.0,0.7274966811397232,-35.266407109918674,1.8772357723577235
値幅広めの高値停滞,XAGUSD,206,0.34951456310679613,-38.98865026621591,-0.18926529255444619,-1.0,0.7090399233864484,-49.58307354015753,1.8567961165048543
