sample,group,bucket,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,hit_1r_within_3_rate,hit_1r_within_6_rate,retest_mid_6_rate,giveback_1r_to_loss_rate
primary_L120_ADX30_RISK1_5_BBW3_8,break_close_location_bucket,00_close_near_low,10,70.0,10.423131049031404,1.0423131049031404,4.24652888633333,2.1719108891628203,2,1.8061874431611493,50.0,50.0,60.0,10.0
primary_L120_ADX30_RISK1_5_BBW3_8,break_close_location_bucket,01_lower_mid,7,57.14285714285714,4.26222141228749,0.6088887731839271,2.2671648267628886,2.300022874881345,2,1.5499371572216034,28.57142857142857,71.42857142857143,28.57142857142857,14.285714285714285
primary_L120_ADX30_RISK1_5_BBW3_8,break_close_location_bucket,02_upper_mid,1,0.0,-1.0756784981731753,-1.0756784981731753,0.0,0.0,1,0.0036758127683721,0.0,0.0,100.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,break_body_bucket,02_large_body,9,66.66666666666666,8.617977971376504,0.9575531079307227,3.6842715777288535,2.1719108891628203,2,1.6660474631563578,55.55555555555556,55.55555555555556,55.55555555555556,11.11111111111111
primary_L120_ADX30_RISK1_5_BBW3_8,break_body_bucket,01_medium_body,8,62.5,6.06737448994239,0.7584218112427987,2.8038395476801745,2.300022874881345,2,1.7396259204694373,25.0,62.5,37.5,12.5
primary_L120_ADX30_RISK1_5_BBW3_8,break_body_bucket,00_small_body,1,0.0,-1.0756784981731753,-1.0756784981731753,0.0,0.0,1,0.0036758127683721,0.0,0.0,100.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,zone_drift_bucket,01_flat,7,71.42857142857143,7.367108296225538,1.052444042317934,4.160377871871463,2.331084634465878,2,1.7832858280935944,28.57142857142857,71.42857142857143,28.57142857142857,14.285714285714285
primary_L120_ADX30_RISK1_5_BBW3_8,zone_drift_bucket,02_drifting_up,5,80.0,6.612658682080313,1.3225317364160625,7.360457341928547,1.039651447465772,1,2.154079190852631,40.0,40.0,60.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,zone_drift_bucket,00_drifting_down,6,33.33333333333333,-0.37009301516013093,-0.06168216919335515,0.9135110263822065,4.27907743240915,4,0.9436189323354625,50.0,50.0,66.66666666666666,16.666666666666664
primary_L120_ADX30_RISK1_5_BBW3_8,risk_bucket,01_1-1.5ATR,18,61.111111111111114,13.60967396314572,0.75609299795254,2.779085717270389,3.406763132639054,3,1.6063950191628384,38.88888888888889,55.55555555555556,50.0,11.11111111111111
