timeframe,strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D1,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,33,51.515151515151516,5.287085063453259,0.160214698892523,1.4772277349608942,4.199477730326311,3,42.666666666666664
D1,RS100_RECLAIM_RR1,Research_2015_2024,42,54.761904761904766,5.207621106274086,0.12399097872081158,1.3880015144056532,5.4635443957195555,4,37.142857142857146
H4,RS120_RECLAIM_RR1,OOS_2025_2026,21,61.904761904761905,5.014257013620906,0.23877414350575743,1.6719911639144402,4.024031823627457,4,68.0952380952381
H4,RS100_RECLAIM_RR1,OOS_2025_2026,32,59.375,4.754918127977442,0.14859119149929506,1.3811360154218937,4.024031823627457,4,72.28125
H4,RS120_UPREG_BODY45_CLOSE60_RR15,OOS_2025_2026,11,54.54545454545454,4.50475365410308,0.4095230594639164,2.0127308754910587,2.012926701322238,2,64.27272727272727
D1,RS100_RECLAIM_RR2,OOS_2025_2026,4,100.0,4.077005742234908,1.019251435558727,inf,0.0,0,54.5
D1,RS120_RECLAIM_RR2,OOS_2025_2026,4,100.0,4.077005742234908,1.019251435558727,inf,0.0,0,54.5
D1,RS120_UPREG_BODY45_CLOSE60_STRETCH35_RR15,Research_2015_2024,5,80.0,4.034760017174079,0.8069520034348159,90.28084226545936,0.04519177815524511,1,48.4
D1,RS120_RECLAIM_RR2,Research_2015_2024,27,48.148148148148145,3.9168731988327727,0.14506937773454714,1.4272220386065169,3.492329670403171,3,47.77777777777778
D1,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,8,62.5,3.91471268143438,0.4893390851792975,6.19718554670853,0.4766001186467572,2,52.75
D1,RS100_RECLAIM_RR2,Research_2015_2024,42,50.0,3.797273354141716,0.09041127033670752,1.2676731373096262,5.6673955985694535,5,47.5
D1,RS100_RECLAIM_RR15,OOS_2025_2026,4,100.0,3.5771650987961463,0.8942912746990366,inf,0.0,0,53.0
D1,RS120_RECLAIM_RR15,OOS_2025_2026,4,100.0,3.5771650987961463,0.8942912746990366,inf,0.0,0,53.0
D1,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,4,100.0,3.5768855847817345,0.8942213961954336,inf,0.0,0,56.25
D1,RS120_RECLAIM_RR1,Research_2015_2024,27,51.85185185185185,3.462137383374684,0.12822731049535865,1.402222968264805,3.2235874914859113,3,37.55555555555556
D1,RS120_RECLAIM_RR15,Research_2015_2024,27,48.148148148148145,3.439747033817801,0.12739803828954818,1.3751808305962732,3.4923296704031714,3,45.22222222222222
H4,RS120_UPREG_BODY45_CLOSE60_STRETCH35_RR15,OOS_2025_2026,9,55.55555555555556,3.430408922681538,0.3811565469646154,1.8515349471297187,3.0229270378028588,3,51.77777777777778
D1,RS100_RECLAIM_RR1,OOS_2025_2026,4,100.0,3.161054468489757,0.7902636171224392,inf,0.0,0,29.75
D1,RS120_RECLAIM_RR1,OOS_2025_2026,4,100.0,3.161054468489757,0.7902636171224392,inf,0.0,0,29.75
D1,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,3,100.0,2.0819457956332634,0.6939819318777545,inf,0.0,0,60.0
D1,RS120_BODY45_CLOSE60_RR2,OOS_2025_2026,3,100.0,2.0819457956332634,0.6939819318777545,inf,0.0,0,60.0
D1,RS120_UPREG_BODY45_CLOSE60_RR15,OOS_2025_2026,2,100.0,1.9106060332031556,0.9553030166015778,inf,0.0,0,60.0
D1,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,22,45.45454545454545,1.5803321033010935,0.07183327742277698,1.208981972479415,4.418155348072405,3,44.95454545454545
D1,RS150_UPREG_BODY45_CLOSE60_STRETCH35_RR15,Research_2015_2024,2,50.0,1.450260062543115,0.7251300312715575,33.09123698476976,0.0,1,53.5
H4,RS100_RECLAIM_RR2,Research_2015_2024,188,37.765957446808514,1.2149131689079908,0.006462304089936121,1.0109111501993742,21.64424761035137,9,91.54787234042553
D1,RS120_BODY45_CLOSE60_RR2,Research_2015_2024,22,45.45454545454545,0.9678285662869086,0.043992207558495845,1.1279849484687885,4.418155348072405,3,48.59090909090909
D1,RS120_UPREG_BODY45_CLOSE60_STRETCH35_RR15,OOS_2025_2026,1,100.0,0.7400624172341548,0.7400624172341548,inf,0.0,0,60.0
H4,RS100_RECLAIM_RR1,Research_2015_2024,198,51.010101010101,0.6342535803579175,0.0032033009108985732,1.006607912178538,15.596265804738564,8,55.86363636363637
H4,RS150_UPREG_BODY45_CLOSE60_STRETCH35_RR15,OOS_2025_2026,2,50.0,0.48570485910593075,0.24285242955296538,1.4831245208077777,1.0053409383854888,1,22.0
H4,RS150_UPREG_BODY45_CLOSE60_STRETCH35_RR15,Research_2015_2024,12,50.0,0.29894683851375925,0.02491223654281327,1.048882030381553,3.0398171770509315,3,82.91666666666667
H4,RS120_UPREG_BODY45_CLOSE60_STRETCH35_RR15,Research_2015_2024,25,44.0,-0.7003149529664505,-0.02801259811865802,0.9508456354621493,4.21772902691022,3,68.2
