period,direction,method,events,win_rate_2r,sl_rate,avg_r_2r,total_r_2r,pf_2r,max_dd_r,max_losing_streak,avg_mfe_24,avg_mfe_48,avg_mfe_120,avg_mae_24,avg_mae_48,avg_mae_120,tp1_rate_120,tp2_rate_120,tp3_rate_120,avg_wave5_ext_wave1_120,median_wave5_ext_wave1_120
OOS_2025_2026,short,W5_AI_SCORE_6,33,6.0606060606060606,84.84848484848484,-0.7632894971122839,-25.188553404705367,0.13704002197502452,26.188553404705367,19,0.6569814289131288,0.7509947951908931,1.0975479280282812,0.8330591144894457,1.0645902977194968,1.79662962088838,18.181818181818183,6.0606060606060606,3.0303030303030303,2.0741020764861116,1.5301928548846082
OOS_2025_2026,short,W5_CLASSIC,26,7.6923076923076925,80.76923076923077,-0.6626526190840658,-17.22896809618571,0.21166728030064308,19.22896809618571,12,0.6100833994005898,0.7402090281526993,1.1300181691510303,0.7840444354729426,0.9687576236949001,1.484853321555884,23.076923076923077,7.6923076923076925,3.8461538461538463,1.8050678409884628,1.5613735732540936
OOS_2025_2026,short,W5_LOOSE,30,6.666666666666667,83.33333333333334,-0.707632269872857,-21.22896809618571,0.1789203869387945,23.22896809618571,13,0.5570956590566257,0.6784641346409763,1.0450278779641424,0.8036151866998078,1.0068974259365062,1.5792732798302438,20.0,6.666666666666667,3.3333333333333335,1.689611540890462,1.44562023811668
OOS_2025_2026,short,W5_STRICT_NO_OVERLAP,12,0.0,91.66666666666666,-0.9442854683368086,-11.331425620041703,0.0,10.331425620041703,12,0.5970479943848377,0.7391264365845832,1.0252449173191327,0.853084113685635,1.1230868954221873,1.704297784256945,16.666666666666664,0.0,0.0,1.612472514739579,1.452215071510099
Research_2015_2024,long,ALL_PIVOT_BREAKOUT,5166,24.274099883855982,48.81920247773907,0.11584690305578176,598.4651011861686,1.2254379581792778,28.907242666121988,15,0.6872035813713114,0.9943593822309446,1.6092268966396481,0.6196677897904098,0.9047377889035254,1.459861212908052,47.27061556329849,24.274099883855982,12.388695315524584,2.7140693483432776,2.1532889053437176
Research_2015_2024,long,CONTROL_NOT_W5,4175,23.449101796407184,48.1437125748503,0.11365713802594124,474.5185512583047,1.2234382714327685,26.06386668231636,15,0.6694113504036564,0.963704347607367,1.55910635483844,0.610838461868447,0.895219755283418,1.440843474220215,46.778443113772454,23.449101796407184,11.544910179640718,2.718041556511378,2.1601423487544444
Research_2015_2024,long,W5_AI_SCORE_5,955,27.643979057591622,51.62303664921466,0.12602832435259817,120.35704975673124,1.2353620530059597,23.907573765685996,9,0.7563931809376606,1.105758233264904,1.7992827496612716,0.6522369980812703,0.9396354321896268,1.5203039598761874,49.52879581151832,27.643979057591622,16.020942408376964,2.7179472980226995,2.148936170212776
Research_2015_2024,long,W5_AI_SCORE_6,494,29.75708502024291,50.40485829959515,0.18434278368392187,91.06533513985741,1.3536888667645441,16.044242046504763,10,0.7441193933719518,1.1133563868864986,1.7986592098986869,0.6518655949081944,0.9384682546706893,1.5099302383910818,51.012145748987855,29.75708502024291,17.408906882591094,2.35913168209742,1.9019776006457498
Research_2015_2024,long,W5_CLASSIC,292,29.45205479452055,48.63013698630137,0.19686244098287947,57.483832767000806,1.38663626284243,13.0,13,0.765034124817364,1.125356551324274,1.7982594553621398,0.6358574312613764,0.9154488189119883,1.4665676635841638,51.02739726027398,29.45205479452055,17.80821917808219,2.294609667529641,1.9444635259317504
Research_2015_2024,long,W5_LOOSE,392,30.357142857142854,50.0,0.18706732977555068,73.33039327201587,1.3601686724678557,12.0,9,0.7845150264953968,1.1849624856990781,1.8741304207974478,0.6618490903378227,0.9477652659292894,1.5621594984193612,51.02040816326531,30.357142857142854,17.602040816326532,2.137746597546698,1.7110396066450906
Research_2015_2024,long,W5_STRICT_NO_OVERLAP,204,27.941176470588236,51.470588235294116,0.12980704850269792,26.480637894550377,1.242699281815385,9.0,9,0.7558685717152055,1.108157215852795,1.7713162339898756,0.6958269441192535,0.9911704129125302,1.5150493883279088,50.0,27.941176470588236,17.15686274509804,2.1608438524793914,1.7744723842797565
Research_2015_2024,short,ALL_PIVOT_BREAKOUT,4598,20.18268812527186,53.044802087864284,-0.03924792454049048,-180.46195703717524,0.9305583587733914,195.65180234252279,21,0.6868580383013735,0.9507397205092496,1.4939205104473696,0.62553012448342,0.9146273975229066,1.5163502683017047,44.64984775989561,20.18268812527186,10.156589821661592,2.770649889226292,2.1877712694983145
Research_2015_2024,short,CONTROL_NOT_W5,3797,20.41085067158283,51.88306557808796,-0.022390093579003505,-85.0151853194763,0.9596797922710211,104.30672796076907,20,0.6890713781626584,0.9452615750404986,1.4939241631296498,0.6100465270867715,0.8941974604514356,1.4809238598602525,45.03555438504082,20.41085067158283,10.244930208058994,2.7814181815901327,2.196969696969689
Research_2015_2024,short,W5_AI_SCORE_5,781,19.206145966709347,58.13060179257362,-0.11068676067888704,-86.44636009021077,0.8179379687486457,91.98505239702718,23,0.6688127618149582,0.9717257198001558,1.4959954407840403,0.6965246475930789,1.009436478586639,1.6668757626376245,42.765685019206146,19.206145966709347,9.859154929577464,2.7506740365811444,2.1913303437967113
Research_2015_2024,short,W5_AI_SCORE_6,398,17.587939698492463,60.050251256281406,-0.15997050008781574,-63.668259034950665,0.7442321454375703,72.30576209099192,14,0.6864767907446154,0.9943280952891834,1.5547586380538354,0.7213514896145296,1.0616511605540329,1.5871142354270429,41.70854271356784,17.587939698492463,9.798994974874372,2.4246992876266997,1.9358007859491535
Research_2015_2024,short,W5_CLASSIC,239,20.502092050209207,55.23012552301255,-0.04185069858931228,-10.002316962845635,0.927089608404502,26.740976881244723,12,0.7087507259044463,1.0254604285785225,1.5708929674768535,0.6480808733589846,0.9617285528231988,1.5295263208463734,45.18828451882845,20.502092050209207,11.297071129707113,2.312910095504149,1.8759493670886087
Research_2015_2024,short,W5_LOOSE,296,19.93243243243243,58.445945945945944,-0.09879835600371814,-29.24431337710057,0.8367088304458181,42.57211604075258,17,0.7007086539263617,0.9905253521663739,1.5065603946934563,0.690025103585924,1.0295880378607485,1.6892429809754628,43.24324324324324,19.93243243243243,10.472972972972974,2.094852819111757,1.6953282338888944
Research_2015_2024,short,W5_STRICT_NO_OVERLAP,148,19.594594594594593,55.4054054054054,-0.07729198379608948,-11.439213601821244,0.8665577007771194,21.32659111228996,6,0.7017518427843938,1.0107013918164036,1.527548752362799,0.6816714142021562,1.0477165350750097,1.54372914896488,42.567567567567565,19.594594594594593,10.81081081081081,2.0999417820546338,1.6970402434736238
